ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
HUG004.lm:12	HUG	HUG004	HUG004	drama	12	6+6	2166		1.1.2.1.1	profil traditionnel		2022-06-05	
HUG1.lm:10	HUG	HUG_15	HUG1	poem	10	4+6	1		1.0.0	vers unique	équivalence culturelle	2022-06-05	
HUG1.lm:12	HUG	HUG_15	HUG1	poem	12	6+6	25		1.1.2.1.1	profil traditionnel		2022-06-05	
HUG1.lm:8	HUG	HUG_15	HUG1	poem	8	8	31		0.1	mètre simple		2022-06-05	
HUG10.lm:7	HUG	HUG_15	HUG10	poem	7	7	4		0.1	mètre simple		2022-06-05	
HUG100.lm:8	HUG	HUG_8	HUG100	poem	8	8	192		0.1	mètre simple		2022-06-06	
HUG1000.lm:12	HUG	HUG_23	HUG1000	poem	12	6+6	36		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1001.lm:12	HUG	HUG_23	HUG1001	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1002.lm:12	HUG	HUG_23	HUG1002	poem	12	6+6	144		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1003.lm:12	HUG	HUG_23	HUG1003	poem	12	6+6	86		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1004.lm:12	HUG	HUG_23	HUG1004	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1005.lm:12	HUG	HUG_23	HUG1005	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1006.lm:12	HUG	HUG_23	HUG1006	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1007.lm:12	HUG	HUG_23	HUG1007	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1008.lm:12	HUG	HUG_23	HUG1008	poem	12	6+6	44		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1009.lm:12	HUG	HUG_23	HUG1009	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG101.lm:12	HUG	HUG_8	HUG101	poem	12	6+6	64		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG101.lm:5	HUG	HUG_8	HUG101	poem	5	5	90		0.1	mètre simple		2022-06-06	
HUG1010.lm:12	HUG	HUG_23	HUG1010	poem	12	6+6	42		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1011.lm:12	HUG	HUG_23	HUG1011	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1012.lm:12	HUG	HUG_23	HUG1012	poem	12	6+6	36		1.1.2.1.1	profil traditionnel		2022-06-06	
HUG1013.lm:12	HUG	HUG_23	HUG1013	poem	12	6−6	40		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-06	
