ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
LAM1.lm:12	LAM	LAM_1	LAM1	poem	12	6+6	52		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM10.lm:8	LAM	LAM_1	LAM10	poem	8	8	130		0.1	mètre simple		2022-06-06	
LAM11.lm:8	LAM	LAM_1	LAM11	poem	8	8	5		0.1	mètre simple		2022-06-06	
LAM11.lm:12	LAM	LAM_1	LAM11	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM12.lm:8	LAM	LAM_1	LAM12	poem	8	8	90		0.1	mètre simple		2022-06-06	
LAM13.lm:8	LAM	LAM_1	LAM13	poem	8	8	24		0.1	mètre simple		2022-06-06	
LAM13.lm:12	LAM	LAM_1	LAM13	poem	12	6+6	45		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM14.lm:6	LAM	LAM_1	LAM14	poem	6	6	20		0.1	mètre simple		2022-06-06	
LAM14.lm:12	LAM	LAM_1	LAM14	poem	12	6+6	44		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM15.lm:6	LAM	LAM_1	LAM15	poem	6	6	14		0.1	mètre simple		2022-06-06	
LAM15.lm:12	LAM	LAM_1	LAM15	poem	12	6+6	42		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM16.lm:8	LAM	LAM_1	LAM16	poem	8		1		0.0	vers unique		2022-06-06	
LAM16.lm:12	LAM	LAM_1	LAM16	poem	12	6+6	29		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM17.lm:8	LAM	LAM_1	LAM17	poem	8	8	130		0.1	mètre simple		2022-06-06	
LAM18.lm:12	LAM	LAM_1	LAM18	poem	12	6+6	252		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM19.lm:12	LAM	LAM_1	LAM19	poem	12	6+6	106		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM2.lm:12	LAM	LAM_1	LAM2	poem	12	6+6	286		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM20.lm:8	LAM	LAM_1	LAM20	poem	8	8	6		0.1	mètre simple		2022-06-06	
LAM20.lm:12	LAM	LAM_1	LAM20	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM21.lm:12	LAM	LAM_1	LAM21	poem	12	6+6	176		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM22.lm:8	LAM	LAM_1	LAM22	poem	8	8	120		0.1	mètre simple		2022-06-06	
LAM23.lm:12	LAM	LAM_1	LAM23	poem	12	6+6	126		1.1.2.1.1	profil traditionnel		2022-06-06	
LAM24.lm:8	LAM	LAM_1	LAM24	poem	8	8	60		0.1	mètre simple		2022-06-06	
