ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
MUS1.lm:8	MUS	MUS_1	MUS1	poem	8	8	14		0.1	mètre simple		2022-06-06	
MUS10.lm:12	MUS	MUS_1	MUS10	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS11.lm:12	MUS	MUS_1	MUS11	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS12.lm:4	MUS	MUS_1	MUS12	poem	4	4	17		0.1	mètre simple		2022-06-06	
MUS12.lm:6	MUS	MUS_1	MUS12	poem	6	6	51		0.1	mètre simple		2022-06-06	
MUS13.lm:3	MUS	MUS_1	MUS13	poem	3	3	10		0.1	mètre simple		2022-06-06	
MUS13.lm:8	MUS	MUS_1	MUS13	poem	8	8	30		0.1	mètre simple		2022-06-06	
MUS14.lm:12	MUS	MUS_1	MUS14	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS15.lm:2	MUS	MUS_1	MUS15	poem	2	2	34		0.1	mètre simple		2022-06-06	
MUS15.lm:6	MUS	MUS_1	MUS15	poem	6	6	102		0.1	mètre simple		2022-06-06	
MUS16.lm:12	MUS	MUS_1	MUS16	poem	12	6−6	590		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-06	
MUS17.lm:8	MUS	MUS_1	MUS17	poem	8	8	15		0.1	mètre simple		2022-06-06	
MUS17.lm:12	MUS	MUS_1	MUS17	poem	12	6+6	279		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS18.lm:12	MUS	MUS_1	MUS18	poem	12	6+6	171		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS19.lm:12	MUS	MUS_1	MUS19	poem	12	6+6	91		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS2.lm:12	MUS	MUS_1	MUS2	poem	12	6+6	500		1.1.2.1.1	profil traditionnel		2022-06-06	
MUS20.lm:12	MUS	MUS_1	MUS20	poem	12	6+6	139		1.1.2.1.1	profil traditionnel		2022-06-06	
