occupent nos esprits et travaillent nos corps,Okyp@nozEspRi|etRavaj@nokOR.,12
comme les mendiants nourrissent leur vermine,kOm@lemAdjA|nuRis@l9RvERmin.,12
c'est que notre âme hélas  n'est pas assez hardie,sEk@nOtRamelas|n|EpazaseaRdi.,12
ils mêlent de la cendre avec d'impurs crachats ,ilmEl@d@lasAdR|avEkdte~pyRkRaSa.,12
avec hypocrisie ils jettent ce qu'il touche,avEkipOkRizi|ilZEt@s@kiltuS.,12
et s'accusent d'avoir mis leurs pieds dans ses pas,eszakyz@dtavwaR|mil9RpjedAsepa.,12
lui dérobent l'aspect des peuples furieux ,lHideROb@laspE|dep9pl@fyRj2.,12
prennent des albatros vastes oiseaux des mers,pREn@dezalbatRos|vast@zwazodemER.,12
ses ailes de géant l'empêchent de marcher,sezEl@d@ZeA|l|ApES@d@maRSe.,12
qui chargent de leur poids l'existence brumeuse,kiSaRZ@d@l9Rpwa|l|EgzistAs@bRym2z.,12
laissent parfois sortir de confuses paroles ,lEs@paRfwasORtiR|d@kCfyz@paROl.,12
qui chantent les transports de l'esprit et des sens,kiSAt@letRAspOR|d@lEspRitedesA.,12
déchirent leur suaire en étirant leurs doigts ,deSiR@l9RsHER|AetiRAl9Rdwa.,12
qui versent la folie à ce bal tournoyant ,kivERs@lafOli|as@baltuRnwajA.,12
passent comme un soupir étouffé de weber ,pas@kOme~supiR|etufed@vEbER.,12
où règnent tour à tour le père des chansons,uREnj@tuRatuR|l@pER@deSAsC.,12
aux nocturnes rayons qui percent les volets ,onOktyRn@REjC|kipERs@levOlE.,12
c'est vous lady macbeth âme puissante au crime,sEvulEdimakbet|am@pHisAtokRim.,12
aux humides brouillards qui nagent dans ses yeux ,oymid@bRujaR|kinaZ@dAsezj2.,12
l'élégance et la force abondent sœurs divines,lelegAselafORs|abCd@s2Rdivin.,12
ton mensonge m'enivre et mon âme s'abreuve,tCmAsCZ@mAnivR|emCam@szabR9v.,12
si ton œil ton souris ton pied m'ouvrent la porte,sitC2jtCsuRi|tCpjemuvR@lapORt.,12
qu'éblouissent les feux d'un soleil monotone ,kebluis@lef2|dt|e~sOlEjmOnOtOn.,12
comme d'autres esprits voguent sur la musique,kOm@dtotR@zEspRi|vOg@syRlamyzik.,12
un port retentissant où mon âme peut boire,e~pORR@tAtisAt|umCam@p2bwaR.,12
ouvrent leurs vastes bras pour embrasser la gloire,uvR@l9Rvast@bRa|puRAbRaselaglwaR.,12
qui séparent mes bras des immensités bleues,kisepaR@mebRa|dezimAsitebl2.,12
femme impure  l'ennui rend ton âme cruelle,fame~pyR@lAnHi|RAtCam@kRyEl.,12
usent insolemment d'un pouvoir emprunté,yzte~solamA@|dt|e~puvwaRApRe~te.,12
tes yeux sont la citerne où boivent mes ennuis,tezj2sClasitERn|ubwav@mezAnHi.,12
où nagent dans la nuit l'horreur et le blasphème ,unaZ@dAlanHi|l|OR9Rel@blasfEm.,12
qui peuvent se plonger dans un sommeil stupide,kip9v@s@plCZe|dAze~sOmEjstypid.,12
de n'avoir pas connu ce que pleurent les morts  ,d@navwaRpakOny|s@k@pl9R@lemOR.,12
vengent bientôt l'épée et la dague traîtresse,vAZ@bje~tolepe|eladag@tREtREs.,12
ils marchent devant moi ces yeux pleins de lumières,ilmaRS@d@vAmwa|sezj2ple~d@lymjER.,12
ils marchent ces divins frères qui sont mes frères,ilmaRS@sedive~|fRER@kisCmefRER.,12
ils conduisent mes pas dans la route du beau ,ilkCdHiz@mepa|dAlaRut@dybo.,12
ils célèbrent la mort vous chantez le réveil ,ilselEbR@lamOR|vuSAtel@RevEj.,12
qui compriment le cœur comme un papier qu'on froisse ,kikCpRim@l@k9r|kOme~papjekCfRwas.,12
dans des yeux où longtemps burent nos yeux avides ,dAdezj2zulCtA|byR@nozj2zavid.,12
âme resplendissante à l'immortel soleil ,am@REsplAdisAt|alimORtElsOlEj.,12
les sons et les parfums tournent dans l'air du soir ,lesCzelepaRfe~|tuRn@dAlERdyswaR.,12
est poreuse on dirait qu'ils pénètrent le verre,EpOR2zCdiRE|k|ilpenEtR@l@vER.,12
qui dégagent leur aile et prennent leur essor,kidegaZ@l9REl|epREn@l9ResOR.,12
saisit l'âme vaincue et la pousse à deux mains,sezilam@ve~ky|elapusad2me~.,12
lacs où mon âme tremble et se voit à l'envers,lakzumCam@tRAbl|es@vwatalAvER.,12
qui plonge dans l'oubli mon âme sans remord,kiplCZ@dAlubli|mCam@sAR@moR.,12
les nerfs trop éveillés raillent l'esprit qui dort,lenERtRoeveje|Raj@lEspRikidOR.,12
qu'allument les soleils des brumeuses saisons,kalym@lesOlEj|debRym2z@sEzC.,12
qu'enflamment les rayons tombant d'un ciel brouillé ,kAflam@leREjC|tCbAdte~sjElbRuje.,12
les diverses beautés qui parent ta jeunesse ,ledivERs@bote|kipaR@taZ9nEs.,12
les diverses beautés qui parent ta jeunesse ,ledivERs@bote|kipaR@taZ9nEs.,12
tourmentent les désirs obscurs et les agacent,tuRmAt@ledeziRz|OpskyRzelezagas.,12
tes bras qui se joueraient des précoces hercules,tebRakis@ZuRE@depRekOsERkyl.,12
et pareil au mourant qu'écrasent les blessés,epaREjomuRA|k|ekRaz@leblese.,12
ils me disent tes yeux clairs comme le cristal ,ilm@diz@tezj2|klERkOm@l@kRistal.,12
qui montent dans l'azur comme des floraisons,kimCt@dAlazyR|kOm@deflOREzC.,12
aiment également dans leur mûre saison,Emtegal@mA@|dAl9RmyR@sEzC.,12
ils cherchent le silence et l'horreur des ténèbres ,ilSERS@l@silAs|elOR9RdetenEbR.,12
qui semblent s'endormir dans un rêve sans fin ,kisAbl@szAdORmiR|dAze~REv@sAfe~.,12
me bercent  d'autre fois calme plat grand miroir,m@bERs@dtotR@fwa|kalm@plagRAmiRwaR.,12
au travers de l'espace ils s'enfoncent tous deux,otRavERd@lEspas|ilszAfCs@tusd2.,12
et foulent l'infini d'un sabot hasardeux,eful@le~fini|dt|e~saboazaRd2.,12
 mais les buveurs heureux connaissent leur vainqueur,mElebyv9R2R2|kOnEs@l9Rve~k9R.,12
l'âme d'un vieux poëte erre dans la gouttière,lam@dte~vj2poEt|ER@dAlagutjER.,12
où comme des remords se traînent de longs vers,ukOm@deR@mOR|s@tREn@d@lCvER.,12
qui s'acharnent toujours sur mes morts les plus chers,kiszaSaRn@tuZuR|syRmemORleplySER.,12
seuls respirent l'odeur d'un flacon débouché,s9lREspiR@lOd9R|dt|e~flakCdebuSe.,12
ne savent plus trouver d'impudique toilette,n@sav@plytRuve|dt|e~pydik@twalEt.,12
et lancent vers le ciel un affreux hurlement,elAs@vERl@sjEl|e~afR2yRl@mA.,12
chambres d'éternel deuil où vibrent de vieux râles,SAbR@dtetERnEld9j|uvibR@d@vj2Ral.,12
répondent les échos de vos de profundis,RepCd@lezeko|d@vod@pRofundis.,12
où vivent jaillissant de mon œil par milliers,uviv@ZajisA|d@mC2jpaRmilje.,12
jamais  jamais  à ceux qui s'abreuvent de pleurs,ZamEZamEzas2|kiszabR9v@d@pl9R.,12
et tettent la douleur comme une bonne louve ,etEt@ladul9R|kOmyn@bOn@luv.,12
les mystères partout coulent comme des sèves,lemistER@paRtu|kul@kOm@desEv.,12
et que décor semblable à l'âme de l'acteur,ek@dekORsAblabl|alam@d@lakt9R.,12
et discutant avec mon âme déjà lasse,ediskytAtavEk|mCam@deZalas.,12
ces sept monstres hideux avaient l'air éternel ,sesEtmCstRid2zavE@lERetERnEl.,12
et mon âme dansait dansait vieille gabarre,emCam@dAsE|dAsEvjEj@gabaR.,12
ces monstres disloqués furent jadis des femmes,semCstR@dislOke|fyR@Zadisdefam.,12
ils rampent flagellés par les bises iniques,ilRAp@flaZele|paRlebiz@zinik.,12
ils trottent tout pareils à des marionnettes ,iltROt@tupaREjz|ademaRjOnEt.,12
se traînent comme font les animaux blessés,s@tREn@kOm@fC|lezanimoblese.,12
ou dansent sans vouloir danser pauvres sonnettes,udAs@sAvulwaR|dAsepovR@sOnEt.,12
toutes m'enivrent  mais parmi ces êtres frêles,tut@mAnivR@mE|paRmiseEtR@fREl.,12
dont les soldats parfois inondent nos jardins,dClesOldapaRfwaz|inCd@noZaRde~.,12
versent quelque héroïsme au cœur des citadins,vERs@kElkeROism|ok9rdesitade~.,12
mon âme resplendit de toutes vos vertus ,mCam@REsplAdi|d@tut@vovERty.,12
comme s'ils regardaient au loin restent levés,kOm@szilR@gaRdEt|olwe~REst@l@ve.,12
dont les bras sans mentir peuvent dire  aujourd'hui,dClebRasAmAtiR|p9v@diRojuRdji.,12
s'emplissent de catins et d'escrocs leurs complices,szAplis@d@kate~z|edtEskRol9RkCplis.,12
au coin du feu le soir auprès d'une âme aimée,okwe~dyf2l@swaR|opREdtynameme.,12
qui viennent gaspiller leurs sanglantes sueurs ,kivjEn@gaspije|l9RsAglAt@sH9R.,12
qui ne comprennent pas amants ivres de chair,kin@kCpREn@paz|amAzivR@d@SER.,12
les charmes de l'horreur n'enivrent que les forts ,leSaRm@d@lOR9R|n|AnivR@k@lefOR.,12
qui ne recèlent point de secrets précieux ,kin@R@sEl@pwe~|d@s@kREpResj2.,12
certe ils doivent trouver les vivants bien ingrats,sErtildwav@tRuve|levivAbje~e~gRa.,12
ils sentent s'égoutter les neiges de l'hiver,ilsAt@szegute|lenEZ@d@livER.,12
mon âme mieux qu'au temps du tiède renouveau,mCam@mj2kotA|dytjEd@R@nuvo.,12
et sur qui dès longtemps descendent les frimas,esyRkidElCtA|desAd@lefRima.,12
où l'âme sous le poids du corps revêche et lourd,ulam@sul@pwa|dykORR@vESeluR.,12
s'aggravent les douleurs des femmes en gésine ,szagRav@ledul9R|defam@zAZezin.,12
un soir l'âme du vin chantait dans les bouteilles ,e~swaRlam@dyve~|SAtEdAlebutEj.,12
reviennent parfumés d'une odeur de futailles,R@vjEn@paRfyme|dt|ynOd9Rd@fytaj.,12
se dressent devant eux solennelle magie ,s@dREs@d@vAt2|sOlanEl@maZi.,12
ils apportent la gloire au peuple ivre d'amour ,ilzapORt@laglwaR|op9plivR@dtamuR.,12
qui se jettent sans peur dans les gouffres sans fonds,kis@ZEt@sAp9R|dAlegufR@sAfC.,12
et courent sanglotant et gloussant par saccades,ekuR@sAglOtAt|eglusApaRsakad.,12
caressent les fruits mûrs de leur nubilité ,kaREs@lefRHimyR|d@l9Rnybilite.,12
que nous veulent les lois du juste et de l'injuste ,k@nuv9l@lelwa|dyZysted@le~Zyst.,12
que nous veulent les lois du juste et de l'injuste ,k@nuv9l@lelwa|dyZysted@le~Zyst.,12
dont les formes au loin frissonnent dans l'azur ,dClefORm@zolwe~|fRisOn@dAlazyR.,12
que poussent vers les cieux ses rivages déserts,k@pus@vERlesj2|seRivaZ@dezER.,12
qui caressent le soir les grands lacs transparents,kikaREs@l@swaR|legRAlaktRAspaRA.,12
qui veulent me conduire en des routes mouvantes,kiv9l@m@kCdHiR|AdeRut@muvAt.,12
que nos rideaux fermés nous séparent du monde,k@noRidofERme|nusepaR@dymCd.,12
et pénètrent vos corps de leurs parfums affreux,epenEtR@vokOR|d@l9RpaRfe~zafR2.,12
elles tournent leurs yeux vers l'horizon des mers,El@tuRn@l9Rzj2|vERlORizCdemER.,12
dans le fond des bosquets où jasent les ruisseaux,dAl@fCdebOskEz|uZaz@leRHiso.,12
et creusent le bois vert des jeunes arbrisseaux ,ekR2z@l@bwavER|deZ9n@zaRbRiso.,12
d'autres comme des sœurs marchent lentes et graves,dtotR@kOm@des2R|maRS@lAt@zegRav.,12
mêlent dans le bois sombre et les nuits solitaires,mEl@dAl@bwasCbR|elenHisOlitER.,12
tombeaux et lupanars montrent sous leurs charmilles,tCbozelypanaR|mCtR@sul9RSaRmij.,12
nous offrent tour à tour comme deux bonnes sœurs,nuzOfR@tuRatuR|kOm@d2bOn@s2R.,12
et dans ses bras ouverts que remplissent ses seins,edAsebRazuvER|k@RAplis@sese~.,12
que sur ces matelas qui se pâment d'émoi,k@syRsemat@la|kis@pam@dtemwa.,12
roulent comme l'encens sur un jardin de roses,Rul@kOm@lAsA|syRe~ZaRde~d@Roz.,12
où tu foulais monté sur une douce ânesse,utyfulEmCte|syRyn@dusanEs.,12
