la beauté dans le songe où son âme s'égare,labotedAl@sCZ|usCam@szegaR,12
détourner tous les traits qui menacent ta vie,detuRnetusletRE|kim@nas@tavi,12
sous la tente au sommeil ton âme s'abandonne,sulatAtosOmEj|tCam@szabAdOn,12
ni larmes ni regrets ne peuvent l'arrêter ,nilaRm@niR@gRE|n@p9v@laRete,12
qui ne bâtissent point leurs nids sur le rivage,kin@batis@pwe~|l9RnisyRl@RivaZ,12
qui ne se posent point sur les rameaux des bois ,kin@s@poz@pwe~|syRleRamodebwa,12
l'horizon est moins vaste  et l'âme plus légère,lORizCEmwe~vast|elam@plyleZER,12
son crime et ses exploits pèsent dans la balance ,sCkRimesezEksplwa|pEz@dAlabalAs,12
où les astres ternis revivent dans l'azur,ulezastR@tERni|R@viv@dAlazyR,12
jaillissent par milliers de l'ombre qui s'enfuit,Zajis@paRmilje|d@lCbR@kiszAfHi,12
les uns semblent planer sur les cimes des bois,leze~sAbl@plane|syRlesim@debwa,12
d'autres en flots brillants s'étendent dans les airs,dtotR@zAflobRijA|sz|etAd@dAlezER,12
semblent des yeux ouverts sur le monde endormi ,sAbl@dezj2zuvER|syRl@mCdAdORmi,12
voguent dans cet azur comme de blanches voiles,vOg@dAsEttazyR|kOm@d@blAS@vwal,12
brillent sur l'océan aux rayons du matin,bRij@syRlOseA|oREjCdymate~,12
étonnent tout à coup l'œil qui les a comptés,etOn@tutaku|l|2jkilezakCte,12
argentent des forêts les dômes transparents,aRZAt@defORE|ledom@tRAspaRA,12
inspirent la vertu la prière l'amour,e~spiR@lavERty|lapRijER@lamuR,12
qui dirigent vers vous les soupirs des amants,kidiRiZ@vERvu|lesupiRdezamA,12
une âme en deuil un cœur qu'un poids sublime oppresse,ynamAd9je~k9r|k|e~pwasyblimOpREs,12
lorsque tes doux soupirs charment seuls mon oreille,lORsk@tedusupiR|SaRm@s9lmCOREj,12
je sens couler des pleurs dont mon âme s'étonne,Z@sAkuledepl9R|dCmCam@szetOn,12
qui viennent se mêler aux pleurs que je répands,kivjEn@s@mele|opl9Rk@Z@RepA,12
quand mes yeux enivrés se soulèvent vers toi,kAmezj2zAnivRe|s@sulEv@vERtwa,12
ne lui permettent pas de se baisser encore,n@lHipERmEt@pa|d@s@beseAkOR,12
et rions des soucis qui bercent les mortels,eRjCdesusi|kibERs@lemORtEl,12
tel que ces esprits purs qui planent dans l'espace,tElk@sezEspRipyR|kiplan@dAlEspas,12
mais ces vents inconstants ne troublent plus sa paix ,mEsevAze~kCstA|n@tRubl@plysapE,12
ainsi lorsque notre âme à sa source envolée,e~silORsk@nOtRam|asasuRsAvOle,12
se déroulent sans fin dans des lits sans rivage,s@deRul@sAfe~|dAdelisARivaZ,12
brisent incessamment sur cet immense écueil,bRizte~sesamA@|syRsEttimAsek9j,12
ainsi que mon regard mon âme se déploie,e~sik@mCR@gaR|mCam@s@deplwa,12
n'accompagnent plus l'homme et ne surnagent pas ,nakCpanj@plylOm|en@syRnaZ@pa,12
chaque pas te révèle à l'âme solitaire ,Sak@pat@RevEl|alam@sOlitER,12
lui murmurent tout bas de sublimes secrets ,lHimyRmyR@tuba|d@syblim@s@kRE,12
viennent désaltérer la mourante verdure ,vjEn@dezalteRe|lamuRAt@vERdyR,12
les roses de sarons qui parfument son cours ,leRoz@d@saRC|kipaRfym@sCkuR,12
