occupent nos esprits et travaillent nos corps,OkypnozEspRize|tRavajnokOR,10
comme les mendiants nourrissent leur vermine,kOm@lemAdjA|nuRisl9RvERmin,11
c'est le diable qui tient les fils qui nous remuent ,sEl@djabl@ki|tje~lefilkinuR@my,13
si le viol le poison le poignard l'incendie,sil@vjOll@pwazCl@pwanjaRle~sAdi,13
c'est que notre âme hélas  n'est pas assez hardie,sEk@nOtR@amelasnEpazaseaRdi,13
les singes les scorpions les vautours les serpents,lese~Z@leskORpjClevotuRlesERpA,13
tous ceux qu'il veut aimer l'observent avec crainte,tuss2kilv2teme|l|OpsERvtavEkkRe~t,11
cherchent à qui saura lui tirer une plainte,SERStakisoRalHi|tiReyn@ple~t,11
ils mêlent de la cendre avec d'impurs crachats ,ilmEld@lasAdRavEkdte~pyRkRaSa,11
avec hypocrisie ils jettent ce qu'il touche,avEkipOkRizi|ilZEts@kiltuS,11
et s'accusent d'avoir mis leurs pieds dans ses pas,eszakyzdtavwaRmi|l9RpjedAsepa,11
sa femme va criant sur les places publiques ,safam@vakRijAsyRleplas@pyblik,13
de génuflexions de viandes et de vins,d@ZenyflEksjC|d@vjAd@zed@ve~,13
lui dérobent l'aspect des peuples furieux ,lHideROblaspEde|p9pl@fyRj2,11
prennent des albatros vastes oiseaux des mers,pREndezalbatRosvast@zwazodemER,11
qui suivent indolents compagnons de voyage,kisHivte~dOlAkCpanjCd@vwajaZ,11
laissent piteusement leurs grandes ailes blanches,lEspit2z@mAl9R|gRAd@zEl@blAS,11
ses ailes de géant l'empêchent de marcher,sezEl@d@ZeA|l|ApESd@maRSe,11
envole-toi bien loin de ces miasmes morbides,AvOl@twabje~lwe~|d@semjasm@mORbid,13
qui chargent de leur poids l'existence brumeuse,kiSaRZd@l9RpwalEgzistAs@bRym2z,11
vers les cieux le matin prennent un libre essor,vERlesj2l@mate~|pREnte~libResOR,11
laissent parfois sortir de confuses paroles ,lEspaRfwasORtiRd@|kCfyz@paROl,11
qui l'observent avec des regards familiers,kilOpsERvtavEkde|R@gaRfamilje,11
 et d'autres corrompus riches et triomphants,edtotR@kORCpy|RiS@zetRijCfA,13
qui chantent les transports de l'esprit et des sens,kiSAtletRAspORd@|l|EspRitedesA,11
d'être fier des beautés qui le nommaient leur roi ,dEtR@fjedebotekil@nOmEl9RRwa,13
et vous femmes hélas  pâles comme des cierges,evufamelaspal@kOm@desjERZ,11
tout chargé de mystère apparaissent à l'ombre,tuSaRZed@mistER|apaREstalCbR,11
déchirent leur suaire en étirant leurs doigts ,deSiRl9RsHERA|etiRAl9Rdwa,11
comme des papillons errent en flamboyant,kOm@depapijCz|ERtAflAbwajA,11
qui versent la folie à ce bal tournoyant ,kivERslafOlia|s@baltuRnwajA,11
passent comme un soupir étouffé de weber ,paskOme~supiRetufed@vEbER,11
t'a-t-il noyée au fond d'un fabuleux minturnes ,ttatnwajeofCdte~|fabyl2me~tyRn,11
où règnent tour à tour le père des chansons,uREnjtuRatuRl@|pER@deSAsC,11
aux nocturnes rayons qui percent les volets ,onOktyRn@REjC|kipERslevOlE,11
au bruit de cette plainte indomptable et sauvage,obRHid@sEt@|ple~te~dCptablesovaZ,13
quand don juan descendit vers l'onde souterraine,kAdCZHAdesAdivERlCd@suteREn,13
un sombre mendiant l'œil fier comme antisthène,e~sCbR@mAdjA|l|2jfjekOmAtistEn,13
tandis que don luis avec un doigt tremblant,tAdik@dClHizavEke~dwatRAblA,11
mais le calme héros courbé sur sa rapière,mEl@kalmeRokuRbesyRsaRapjER,11
s'écria transporté d'un orgueil satanique ,szekRijatRAspORtedte~ORg2jsatanik,13
le silence et la nuit s'installèrent en lui,l@silAselanHi|sz|e~stalERtAlHi,11
je suis belle ô mortels  comme un rêve de pierre,Z@sHibEl@omORtElkOme~REv@d@pjER,13
c'est vous lady macbeth âme puissante au crime,sEvulEdimakbet|ampHisAtokRim,11
aux humides brouillards qui nagent dans ses yeux ,oymid@bRujaR|kinaZdAsezj2,11
quand il jette en dansant son bruit vif et moqueur,kAtilZEtAdAsA|sCbRHivifemOk9R,13
les hanches de l'antiope au buste d'un imberbe,leAS@d@lAtjopobyst@dte~e~bERb,13
l'élégance et la force abondent sœurs divines,lelegAselafORs|abCds2Rdivin,11
ton mensonge m'enivre et mon âme s'abreuve,tCmAsCZ@mAnivR|emCamszabR9v,11
 mais pourquoi pleure-t-elle  elle beauté parfaite,mEpuRkwapl9R@ttEl@botepaRfEt,11
si ton œil ton souris ton pied m'ouvrent la porte,sitC2jtCsuRi|tCpjemuvRlapORt,11
qu'éblouissent les feux d'un soleil monotone ,kebluislef2dte~|sOlEjmOnOtOn,11
comme d'autres esprits voguent sur la musique,kOm@dtotR@zEspRi|vOgsyRlamyzik,11
se pâment longuement sous l'ardeur des climats ,s@pamlCg@mAsu|l|aRd9Rdeklima,11
un port retentissant où mon âme peut boire,e~pORR@tAtisAt|umCamp2bwaR,11
ouvrent leurs vastes bras pour embrasser la gloire,uvRl9Rvast@bRapuR|AbRaselaglwaR,11
ô vase de tristesse ô grande taciturne,ovaz@d@tRistEs@ogRAd@tasityRn,13
qui séparent mes bras des immensités bleues,kisepaRmebRadez|imAsitebl2,11
femme impure  l'ennui rend ton âme cruelle,fame~pyR@lAnHi|RAtCamkRyEl,11
usent insolemment d'un pouvoir emprunté,yzte~solamAdte~|puvwaRApRe~te,11
de toi se sert ô femme ô reine des péchés,d@twas@sERofam@oREn@depeSe,13
quand vers toi mes désirs partent en caravane,kAvERtwamedeziR|paRttAkaRavan,11
tes yeux sont la citerne où boivent mes ennuis,tezj2sClasitERn|ubwavmezAnHi,11
au bout de leurs bâtons agitent en cadence,obud@l9RbatCz|aZittAkadAs,11
sur la toile oubliée et que l'artiste achève,syRlatwalublijeek@laRtistaSEv,13
où nagent dans la nuit l'horreur et le blasphème ,unaZdAlanHilOR9Rel@blasfEm,11
qui peuvent se plonger dans un sommeil stupide,kip9vs@plCZedAz|e~sOmEjstypid,11
de n'avoir pas connu ce que pleurent les morts  ,d@navwaRpakOny|s@k@pl9RlemOR,11
vengent bientôt l'épée et la dague traîtresse,vAZbje~tolepee|ladag@tREtREs,11
et je buvais ton souffle ô douceur ô poison ,eZ@byvEtCsufl@odus9RopwazC,13
comme montent au ciel les soleils rajeunis,kOm@mCttosjElle|sOlEjRaZ9ni,11
qui ne crie  ô mon cher belzébuth je t'adore ,kin@kRi@omC|SERbElzebytZ@ttadOR,13
aborde heureusement aux époques lointaines,2R2z@mAtozepOk@lwe~tEn,13
et fait rêver un soir les cervelles humaines,efERevee~swaR|lesERvElymEn,11
ils marchent devant moi ces yeux pleins de lumières,ilmaRSd@vAmwasez|j2ple~d@lymjER,11
ils marchent ces divins frères qui sont mes frères,ilmaRSsedive~fRER@kisCmefRER,11
ils conduisent mes pas dans la route du beau ,ilkCdHizmepadA|laRut@dybo,11
ils célèbrent la mort vous chantez le réveil ,ilselEbRlamORvu|SAtel@RevEj,11
qui compriment le cœur comme un papier qu'on froisse ,kikCpRiml@k9rkOm|e~papjekCfRwas,11
dans des yeux où longtemps burent nos yeux avides ,dAdezj2zulCtA|byRnozj2zavid,11
mais de toi je n'implore ange que tes prières,mEd@twaZ@ne~plOR|AZ@k@tepRijER,13
pauvre ange elle chantait votre note criarde ,povRAZEl@SAtE|vOtR@nOt@kRijaRd,13
ainsi chère déesse être lucide et pur,e~siSER@deEs@EtR@lysidepyR,13
âme resplendissante à l'immortel soleil ,amREsplAdisAta|l|imORtElsOlEj,11
les sons et les parfums tournent dans l'air du soir ,lesCzelepaRfe~|tuRndAlERdyswaR,11
est poreuse on dirait qu'ils pénètrent le verre,EpOR2zCdiRE|k|ilpenEtRl@vER,11
dont la serrure grince et rechigne en criant,dClaseRyR@gRe~s|eR@SinjAkRijA,13
qui dégagent leur aile et prennent leur essor,kidegaZl9REle|pREnl9ResOR,10
saisit l'âme vaincue et la pousse à deux mains,sezilamve~kye|lapusad2me~,11
vers un gouffre obscurci de miasmes humains ,vERze~gufROpskyRsi|d@mjasmyme~,11
qui me ronge ô la vie et la mort de mon cœur ,kim@RCZ@ola|vielamORd@mCk9r,13
lacs où mon âme tremble et se voit à l'envers,lakzumCamtRAble|s@vwatalAvER,11
qui plonge dans l'oubli mon âme sans remord,kiplCZ@dAlubli|mCamsAR@moR,11
les nerfs trop éveillés raillent l'esprit qui dort,lenERtRoeveje|RajlEspRikidOR,11
qu'allument les soleils des brumeuses saisons,kalymlesOlEjde|bRym2z@sEzC,11
qu'enflamment les rayons tombant d'un ciel brouillé ,kAflamleREjCtCbAdte~sjElbRuje,11
ô femme dangereuse ô séduisants climats ,ofam@dAZ@R2z@osedHizAklima,13
adorerai-je aussi ta neige et vos frimas,adOR@ReZ@ositanEZevofRima,13
les diverses beautés qui parent ta jeunesse ,ledivERs@bote|kipaRtaZ9nEs,11
où l'enfance s'allie à la maturité,ulAfAs@szalja|lamatyRite,11
les diverses beautés qui parent ta jeunesse ,ledivERs@bote|kipaRtaZ9nEs,11
où l'enfance s'allie à la maturité,ulAfAs@szalja|lamatyRite,11
ta gorge triomphante est une belle armoire,tagORZ@tRijCfAtEtyn@bElaRmwaR,13
boucliers provoquants armés de pointes roses ,buklijepRovokAzaRmed@pwe~t@Roz,13
tourmentent les désirs obscurs et les agacent,tuRmAtledeziRzOpskyRzelezagas,11
tes bras qui se joueraient des précoces hercules,tebRakis@ZuRE|depRekOsERkyl,11
et pareil au mourant qu'écrasent les blessés,epaREjomuRA|k|ekRazleblese,11
le diable a tout éteint aux carreaux de l'auberge ,l@djablatutete~tokaRod@lobERZ,13
qu'on cloue en grande hâte un cercueil quelque part,kCkluAgRAdate~|sERk9jkElk@paR,11
ce bruit mystérieux sonne comme un départ,s@bRHimisteRj2sOn@kOme~depaR,13
et dans ma jalousie ô mortelle madone,edAmaZaluzi@omORtEl@madOn,13
devant les suppliants sait mettre bas les armes,d@vAlesyplijAsEmEtR@balezaRm,13
si vous alliez madame au vrai pays de gloire,sivuzaljemadamovREpeid@glwaR,13
dis-moi ton cœur parfois s'envole-t-il agathe,dimwatCk9rpaRfwa|sz|AvOl@ttagat,11
dis-moi ton cœur parfois s'envole-t-il agathe ,dimwatCk9rpaRfwa|sz|AvOl@ttagat,11
ils me disent tes yeux clairs comme le cristal ,ilm@diztezj2klER|kOm@l@kRistal,11
crime horreur et folie   ô pâle marguerite ,kRimOR9RefOli@opal@maRg@Rit,13
ô ma si blanche ô ma si froide marguerite ,omasiblAS@o|masifRwad@maRg@Rit,13
qui montent dans l'azur comme des floraisons,kimCtdAlazyRkOm@deflOREzC,11
aiment également dans leur mûre saison,Emtegal@mAdA|l9RmyR@sEzC,11
ils cherchent le silence et l'horreur des ténèbres ,ilSERSl@silAse|l|OR9RdetenEbR,11
ils prennent en songeant les nobles attitudes,ilpREntAsCZAle|nObl@zatityd,11
qui semblent s'endormir dans un rêve sans fin ,kisAblszAdORmiRdAz|e~REv@sAfe~,11
étoilent vaguement leurs prunelles mystiques,etwalvag@mAl9R|pRynEl@mistik,11
me bercent  d'autre fois calme plat grand miroir,m@bERsdtotR@fwakalm@plagRAmiRwaR,11
au travers de l'espace ils s'enfoncent tous deux,otRavERd@lEspas|ilszAfCstusd2,11
et foulent l'infini d'un sabot hasardeux,efulle~finidte~|saboazaRd2,11
où gisent aux lueurs d'un soleil blanc et terne,uZiztolH9Rdte~|sOlEjblAetERn,11
et se multiplier comme l'hydre de lerne,es@myltiplijekOm@lidR@d@lErn,13
 mais les buveurs heureux connaissent leur vainqueur,mElebyv9R2R2|kOnEsl9Rve~k9R,11
aux pâles habitants du voisin cimetière,opalabitAdy|vwaze~sim@tjER,11
l'âme d'un vieux poëte erre dans la gouttière,lamdte~vj2poEtER@dAlagutjER,11
causent sinistrement de leurs amours défunts,kozsinistR@mAd@|l9RzamuRdefe~,11
où comme des remords se traînent de longs vers,ukOm@deR@mOR|s@tREnd@lCvER,11
qui s'acharnent toujours sur mes morts les plus chers,kiszaSaRntuZuRsyR|memORleplySER,11
seuls respirent l'odeur d'un flacon débouché,s9lREspiRlOd9Rdte~|flakCdebuSe,11
oublié sur la carte et dont l'humeur farouche,ublijesyRla|kaRtedClym9RfaRuS,13
ne savent plus trouver d'impudique toilette,n@savplytRuvedte~pydik@twalEt,11
des cloches tout à coup sautent avec furie,deklOS@tutaku|sottavEkfyRi,11
et lancent vers le ciel un affreux hurlement,elAsvERl@sjEle~|afR2yRl@mA,11
qui se mettent à geindre opiniâtrément,kis@mEttaZe~dRopiniatRemA,11
défilent lentement dans mon âme  l'espoir,defillAt@mAdA|mCamlEspwaR,10
