qu'une duègne toujours de quartier en quartier,kyn@duEJ@tuZuRd@kaRtjeAkaRtje,13
portent un cœur châtré de toute noble envie ,pORtte~k9rSatRed@|tut@nOblAvi,11
qu'elles valent encor quatre fois mieux que celles,kEl@valtAkorkatR@fwamj2k@sEl,11
celles-là vont au bal courent les rendez-vous,sEl@lavCtobal|kuRleRAdevu,11
savent dans un manchon cacher un billet doux,savdAze~mASCkaSee~bijEdu,11
suivre l'imbroglio de ces amours mignons,sHivR@le~bROljod@|sezamuRminjC,11
une louve affamée en quelque âpre forêt,yn@luvafame|AkElk@apR@fORE,13
l'horloge d'un couvent s'ébranla lentement ,lORlOZ@dte~kuvszebRAlalAt@mA,11
 la belle épaule blanche ô ma petite fée ,labElepol@blAS@omap@tit@fe,13
 adieu donc  que le diable emporte ta jument ,adj2dCkk@l@djablApORt@taZymA,13
 allez-vous-en vilain   adieu mon seul amour  ,alevuvile~adj2mCs9lamuR,11
il détourna la rue à grands pas et le bruit,ildetuRnalaRy|agRApazel@bRHi,13
en route et d'heure en heure au bruit de la fanfare,ARuted9RA9R|obRHid@lafAfaR,13
que des lansquenets gris s'en vont partout criant,k@delAskenEgRi|sz|AvCpaRtukRijA,13
n'y manquent pas  pendant que l'un fait après boire,nimAkpapAdAk@|l|e~fEtapREbwaR,11
des bravos des éclats qu'allument les gageures,debRavodezekla|k|alymlegaZyR,11
ces mots à peine dits causèrent un haro,semozapEn@di|kozERte~aro,11
qui du prochain couvent ébranla le carreau,kidypROSe~kuvtebRAlal@kaRo,11
 messieurs cria d'abord notre moustache rousse,mesj2kRijadtabORnOtR@mustaS@Rus,13
dit quelqu'un j'en ai trois  frères cria de loin,dikelke~ZAetRwa|fRER@kRijad@lwe~,13
 vrai mon petit ribaud  dirent-ils quelle est-elle  ,vREmCp@tiribo|diRtilkElEtEl,11
la comtesse juana d'orvado n'a qu'un maître,lakCtEs@RuanadtoRvadonake~mEtR,13
 toi  s'écria paez  mousqueton d'écurie,twaszekRijapaEsmusk@tCdtekyRi,13
jurons donc que celui qui sera dans une heure,ZyRCdCkk@s@lHi|kis@RadAz9R,13
elles tournent en rond lentement et s'attendent ,El@tuRntARClAt@mAteszatAd,11
s'observent   par instants entre leur main rapide,szOpsERvpaRe~stAzAtR@l9Rme~Rapid,11
tous viennent à voix basse agiter leurs destins,tusvjEntavwabasaZitel9RdEste~,11
