dans l'horizon désert phébé monte sans bruit,dAlORizCdezER|febemCt@sAbRHi,13
est-ce un écho du ciel qui charme notre oreille ,Es@e~ekody|sjElkiSaRm@nOtROREj,13
est-ce un soupir d'amour de la terre et des mers ,Es@e~supiRdtamuRd@latERedemER,13
la beauté dans le songe où son âme s'égare,labotedAl@sCZ|usCam@szegaR,12
jettent aux vents du soir des sons mystérieux ,ZEttovAdyswaRde|sCmisteRj2,11
les échos assoupis ne livrent au zéphyre,lezekozasupi|n@livRtozefiR,11
a cette heure d'amour sous cet astre enchanté,a9R@dtamuRsusEttastRASAte,13
mais de l'abîme ô dieu  quel que soit le secours,mEd@labim@o|dj2kElk@swal@s@kuR,13
chantez chantez un hymne ô vierges de lesbos ,SAteSAtee~imn@ovjERZ@d@lEsbos,13
le jeune dieu de l'inde en triomphe traîné,l@Z9n@dj2d@le~d|AtRijCf@tRene,13
sans rougir de ma flamme en tout temps à toute heure,sARuZiRd@maflam|AtutAza9R,13
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
aux trois fatales sœurs adressé mes prières ,otRwafatal@s2Rz|adResemepRijER,13
pour lui j'aurais voulu dans les jeux d'ionie,puRlHiZOREvuly|dAleZ2dtjoni,11
 au moins disais-je au moins si ta rigueur jalouse,omwe~dizEZ@o|mwe~sitaRig9RZaluz,13
détourner tous les traits qui menacent ta vie,detuRnetusletRE|kim@nas@tavi,12
sous la tente au sommeil ton âme s'abandonne,sulatAtosOmEj|tCam@szabAdOn,12
ce sommeil ô phaon qui n'est plus fait pour moi,s@sOmEjofAki|n|EplyfEpuRmwa,11
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
que ne puis-je effacer mes traces sur la terre ,k@n@pHiZ@efasemetRas@syRlatER,13
que ne puis-je aux enfers descendre tout entière,k@n@pHiZ@ozAfERdesAdR@tutAtjER,13
et brûlant ces écrits où doit vivre phaon,ebRylAsezekRiz|udwavivR@fA,11
oh  qu'entends-je  écoutez du côté de lesbos,okAtAZ@ekutedykoted@lEsbos,13
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
vous revîntes sans elle ô vierges de lesbos ,vur@ve~t@sAzEl@ovjERZ@d@lEsbos,13
ni larmes ni regrets ne peuvent l'arrêter ,nilaRm@niR@gRE|n@p9v@laRete,12
en sons entrecoupés frappe ma dernière heure,AsCzAtR@kupe|fRap@ma9R,13
c'est un présage heureux donné par mon génie ,sEte~2R2dOnepaRmCZeni,13
un soleil un soleil une heure et puis une heure ,e~sOlEje~sOlEj|9RepHiz9R,14
qui ne bâtissent point leurs nids sur le rivage,kin@batis@pwe~|l9RnisyRl@RivaZ,12
qui ne se posent point sur les rameaux des bois ,kin@s@poz@pwe~|syRleRamodebwa,12
ils passent en chantant loin des bords et le monde,ilpastASAtAlwe~|debORzel@mCd,11
telle durant la nuit la harpe éolienne,tEl@dyRAlanHi|laaRpeOljEn,11
mêlant au bruit des eaux sa plainte aérienne,mElAtobRHidez|osaple~taeRjEn,13
amis s'informe-t-il si l'ombre de ses ailes,amisze~fORm@tsi|l|CbR@d@sezEl,11
au doux bruit des ruisseaux sous l'ombrage roulant,odubRHideRHisosulCbRaZ@RulA,13
aimer prier chanter voilà toute ma vie,emepRijeSAtevwalatut@mavi,13
l'horizon est moins vaste  et l'âme plus légère,lORizCEmwe~vast|elam@plyleZER,12
et son ombre n'entend que le bruit monotone,esCCbR@nAtA|k@l@bRHimOnOtOn,13
pareil au fier jacob tu luttas contre une ombre ,paREjofjeZakobtylytakCtRynCbR,13
tu n'aimais que le bruit du fer le cri d'alarmes,tynemEk@l@bRHidyfERl@kRidtalaRm,13
venait comme un remords t'assaillir loin du bruit,v@nEkOme~R@mOR|tt|asajiRlwe~dybRHi,13
ton oreille écoutait leur bruit harmonieux ,tCOREjekutE|l9RbRHiaRmOnj2,13
son crime et ses exploits pèsent dans la balance ,sCkRimesezEksplwa|pEz@dAlabalAs,12
il est pour la pensée une heure une heure sainte,ilEpuRlapAse|9R9R@se~t,14
alors que s'enfuyant de la céleste enceinte,alORk@szAfHjAd@|laselEstAse~t,11
où les astres ternis revivent dans l'azur,ulezastR@tERni|R@viv@dAlazyR,12
jaillissent par milliers de l'ombre qui s'enfuit,Zajis@paRmilje|d@lCbR@kiszAfHi,12
les uns semblent planer sur les cimes des bois,leze~sAbl@plane|syRlesim@debwa,12
d'autres en flots brillants s'étendent dans les airs,dtotR@zAflobRijA|sz|etAd@dAlezER,12
déroulent à longs plis leur flottante crinière ,deRultalCplil9R|flOtAt@kRinjER,11
semblent des yeux ouverts sur le monde endormi ,sAbl@dezj2zuvER|syRl@mCdAdORmi,12
voguent dans cet azur comme de blanches voiles,vOg@dAsEttazyR|kOm@d@blAS@vwal,12
brillent sur l'océan aux rayons du matin,bRij@syRlOseA|oREjCdymate~,12
les uns déjà vieillis pâlissent à nos yeux ,leze~deZavjeji|palistanozj2,11
lèvent un front riant de grâce et de jeunesse,lEvte~fRCRjAd@|gRased@Z9nEs,11
étonnent tout à coup l'œil qui les a comptés,etOn@tutaku|l|2jkilezakCte,12
dans l'espace aussitôt ils s'élancent et l'homme,dAlEspasositot|ilszelAstelOm,11
peut-être ah  puisse-t-il au céleste séjour,p2EtRapHis@tto|selEst@seZuR,11
tous ces mondes flottants gravitent en silence,tussemCd@flOtA|gRavittAsilAs,11
quel terme assigna-t-il à notre vol rapide ,kEltERmasinjatta|nOtR@vOlRapid,11
argentent des forêts les dômes transparents,aRZAt@defORE|ledom@tRAspaRA,12
inspirent la vertu la prière l'amour,e~spiR@lavERty|lapRijER@lamuR,12
et quand l'œil attendri s'entr'ouvre à leur lumière,ekAl2jatAdRi|sz|Antral9RlymjER,11
attirent une larme aux bords de la paupière ,atiRtyn@laRmo|bORd@lapopjER,11
qui dirigent vers vous les soupirs des amants,kidiRiZ@vERvu|lesupiRdezamA,12
nourrissent à jamais les enfants de la vie ,nuRistaZamElez|AfAd@lavi,11
j'ai murmuré tout bas  que ne suis-je un de vous ,ZemyRmyRetuba|k@n@sHiZ@e~d@vu,13
que ne puis-je échappant à ce globe de boue,k@n@pHiZ@eSapAtas@glOb@d@bu,13
une âme en deuil un cœur qu'un poids sublime oppresse,ynamAd9je~k9r|k|e~pwasyblimOpREs,12
lorsque tes doux soupirs charment seuls mon oreille,lORsk@tedusupiR|SaRm@s9lmCOREj,12
je sens couler des pleurs dont mon âme s'étonne,Z@sAkuledepl9R|dCmCam@szetOn,12
qui viennent se mêler aux pleurs que je répands,kivjEn@s@mele|opl9Rk@Z@RepA,12
quand mes yeux enivrés se soulèvent vers toi,kAmezj2zAnivRe|s@sulEv@vERtwa,12
aimons-nous sans mesure ô mon unique amie ,emCnusAm@zyR@omCynikami,13
 ô dieux  dans leur saison j'oubliai d'en jouir ,odj2dAl9RsEzC|Z|ublijedtAZwiR,13
ne lui permettent pas de se baisser encore,n@lHipERmEt@pa|d@s@beseAkOR,12
et rions des soucis qui bercent les mortels,eRjCdesusi|kibERs@lemORtEl,12
ramenez-moi disais-je au fortuné rivage,Ram@nemwadizE|Z@ofORtyneRivaZ,13
au doux bruit de la vague ou du vent qui murmure,odubRHid@la|vagudyvA@kimyRmyR,14
ose l'étendre à peine au delà d'une année,ozletAdRapEno|d@ladtynane,11
tel que ces esprits purs qui planent dans l'espace,tElk@sezEspRipyR|kiplan@dAlEspas,12
mais ces vents inconstants ne troublent plus sa paix ,mEsevAze~kCstA|n@tRubl@plysapE,12
à cette heure où frappé d'un rayon de l'aurore,a9RufRapedte~REjCd@lOROR,13
tantôt les rocs minés sur lui pendent en voûte,tAtoleROkmine|syRlHipAdtAvut,11
ainsi lorsque notre âme à sa source envolée,e~silORsk@nOtRam|asasuRsAvOle,12
se déroulent sans fin dans des lits sans rivage,s@deRul@sAfe~|dAdelisARivaZ,12
brisent incessamment sur cet immense écueil,bRizte~sesamA@|syRsEttimAsek9j,12
ainsi que mon regard mon âme se déploie,e~sik@mCR@gaR|mCam@s@deplwa,12
n'accompagnent plus l'homme et ne surnagent pas ,nakCpanj@plylOm|en@syRnaZ@pa,12
mais ton image ô dieu dans ces grands traits épars,mEtCimaZ@o|dj2dAsegRAtREzepaR,13
chaque pas te révèle à l'âme solitaire ,Sak@pat@RevEl|alam@sOlitER,12
