Vers,Phonétique,Syllabes
le soleil va porter le jour à d'autres mondes ,l@sOlEjvapORte|l@ZuRadtotR@mCd,12
dans l'horizon désert phébé monte sans bruit,dAlORizCdezER|febemCt@sAbRHi,13
et jette en pénétrant les ténèbres profondes,eZEtApenetRA|letenEbR@pROfCd,12
un voile transparent sur le front de la nuit,e~vwal@tRAspaRA|syRl@fRCd@lanHi,12
voyez du haut des monts ses clartés ondoyantes,vwajedyodemC|seklaRtezCdwajAt,12
comme un fleuve de flamme inonder les coteaux,kOme~fl9v@d@flam|inCdelekOto,12
dormir dans les vallons ou glisser sur les pentes,dORmiRdAlevalCz|uglisesyRlepAt,12
ou rejaillir au loin du sein brillant des eaux,uR@ZajiRolwe~|dyse~bRijAdezo,12
la douteuse lueur dans l'ombre répandue,ladut2z@lH9R|dAlCbR@RepAdy,12
teint d'un jour azuré la pâle obscurité,te~dte~ZuRazyre|lapalOpskyRite,12
et fait nager au loin dans la vague étendue,efEnaZeolwe~|dAlavagetAdy,12
les horizons baignés par sa molle clarté,leORizCbenje|paRsamOl@klaRte,12
l'océan amoureux de ces rives tranquilles,lOseAamuR2|d@seRiv@tRAkil,12
calme en noyant leurs pieds ses orageux transports,kalmAnwajAl9Rpje|sezORaZ2tRAspOR,12
et pressant dans ses bras ces golfes et ces îles,epResAdAsebRa|segOlf@zeseil,12
de son humide haleine en rafraîchit les bords,d@sCymidalEn|ARafReSilebOR,12
du flot qui tour à tour s'avance et se retire,dyflokituRatuR|sz|avAses@R@tiR,12
l'œil aime à suivre au loin le flexible contour ,l2jEmasHivRolwe~|l@flEksibl@kCtuR,12
on dirait un amant qui presse en son délire,CdiREte~amA|kipREsAsCdeliR,12
la vierge qui résiste et cède tour à tour,lavjERZ@kiRezist|esEd@tuRatuR,12
doux comme le soupir de l'enfant qui sommeille,dukOm@l@supiR|d@lAfAkisOmEj,12
un son vague et plaintif se répand dans les airs ,e~sCvageple~tif|s@RepAdAlezER,12
est-ce un écho du ciel qui charme notre oreille ,Es@e~ekody|sjElkiSaRm@nOtROREj,13
est-ce un soupir d'amour de la terre et des mers ,Es@e~supiRdtamuRd@latERedemER,13
il s'élève il retombe il renaît il expire,ilszelEvilR@tCb|ilR@nEtilEkspiR,12
comme un cœur oppressé d'un poids de volupté ,kOme~k9rOpRese|dt|e~pwad@vOlypte,12
il semble qu'en ces nuits la nature respire,ilsAbl@kAsenHi|lanatyR@REspiR,12
et se plaint comme nous de sa félicité,es@ple~kOm@nu|d@safelisite,12
mortel ouvre ton âme à ces torrents de vie ,mORtEluvR@tCam|asetORAd@vi,12
reçois par tous les sens les charmes de la nuit ,R@swapaRtuslesA|leSaRm@d@lanHi,12
à t'enivrer d'amour son ombre te convie ,attAnivRedtamuR|sCCbR@t@kCvi,12
son astre dans le ciel se lève et te conduit,sCastR@dAl@sjEl|s@lEvet@kCdHi,12
vois-tu ce feu lointain trembler sur la colline ,vwatys@f2lwe~te~|tRAblesyRlakOlin,12
par la main de l'amour c'est un phare allumé ,paRlame~d@lamuR|s|Ete~faRalyme,12
là comme un lis penché l'amante qui s'incline,lakOme~lipASe|l|amAt@kisze~klin,12
prête une oreille avide aux pas du bien-aimé,pREtynOREjavid|opadybje~eme,12
la beauté dans le songe où son âme s'égare,labotedAl@sCZ|usCamszegaR,11
soulève un œil d'azur qui réfléchit les cieux,sulEve~2jdtazyR|kiRefleSilesj2,12
et ses doigts au hasard errant sur sa guitare,esedwazoazaRt|eRAsyRsagitaR,12
jettent aux vents du soir des sons mystérieux ,ZEttovAdyswaRde|sCmisteRj2,11
 viens  l'amoureux silence occupe au loin l'espace ,vje~lamuR2silAs|Okypolwe~lEspas,12
 viens du soir près de moi respirer la fraîcheur ,vje~dyswaRpREd@mwa|REspiRelafRES9R,12
 c'est l'heure  à peine au loin la voile qui s'efface,sEl9RapEnolwe~|lavwal@kiszefas,12
 blanchit en ramenant le paisible pêcheur,blASitARam@nA|l@pezibl@pES9R,12
 depuis l'heure où ta barque a fui loin de la rive,d@pHil9RutabaRk|afHilwe~d@laRiv,12
 j'ai suivi tout le jour ta voile sur les mers,ZesHivitul@ZuR|tavwal@syRlemER,12
 ainsi que de son nid la colombe craintive,e~sik@d@sCni|lakOlCb@kRe~tiv,12
 suit l'aile du ramier qui blanchit dans les airs,sHilEl@dyRamje|kiblASidAlezER,12
 tandis qu'elle glissait sous l'ombre du rivage,tAdikEl@glisE|sulCbR@dyRivaZ,12
 j'ai reconnu ta voix dans la voix des échos ,ZeR@kOnytavwa|dAlavwadezeko,12
 et la brise du soir en mourant sur la plage,elabRiz@dyswaR|AmuRAsyRlaplaZ,12
 me rapportait tes chants prolongés sur les flots,m@RapORtEteSA|pROlCZesyRleflo,12
 quand la vague a grondé sur la côte écumante,kAlavagagRCde|syRlakotekumAt,12
 à l'étoile des mers j'ai murmuré ton nom ,aletwal@demER|Z|emyRmyRetCnC,12
 j'ai rallumé ma lampe et de ta seule amante,ZeRalymemalAp|ed@tas9lamAt,12
 l'amoureuse prière a fait fuir l'aquilon,lamuR2z@pRijER|afEfHiRlakilC,12
 maintenant sous le ciel tout repose ou tout aime ,me~t@nAsul@sjEl|tuR@pozututEm,12
 la vague en ondulant vient dormir sur le bord,lavagACdylA|vje~dORmiRsyRl@bOR,12
 la fleur dort sur sa tige et la nature même,lafl9RdORsyRsatiZ|elanatyR@mEm,12
 sous le dais de la nuit se recueille et s'endort,sul@dEd@lanHi|s@R@k9jeszAdOR,12
 vois  la mousse a pour nous tapissé la vallée ,vwalamusapuRnu|tapiselavale,12
 le pampre s'y recourbe en replis tortueux,l@pApR@sziR@kuRb|AR@plitORtH2,12
 et l'haleine de l'onde à l'oranger mêlée,elalEn@d@lCd|alORAZemele,12
 de ses fleurs qu'elle effeuille embaume mes cheveux,d@sefl9RkElEf2j|Abom@meS@v2,12
 à la molle clarté de la voûte sereine,alamOl@klaRte|d@lavut@s@REn,12
 nous chanterons ensemble assis sous le jasmin,nuSAt@RCzAsAbl|asisul@Zasme~,12
 jusqu'à l'heure où la lune en glissant sur misène,Zyskal9Rulalyn|AglisAsyRmizEn,12
 se perd en pâlissant dans les feux du matin ,s@pERtApalisA|dAlef2dymate~,12
elle chante  et sa voix par intervalle expire,El@SAtesavwa|paRe~tERvalEkspiR,12
et des accords du luth plus faiblement frappés,edezakORdylyt|plyfEbl@mAfRape,12
les échos assoupis ne livrent au zéphyre,lezekozasupi|n@livRtozefiR,11
que des soupirs mourants de silences coupés,k@desupiRmuRA|d@silAs@kupe,12
celui qui le cœur plein de délire et de flamme,s@lHikil@k9rple~|d@deliRed@flam,12
a cette heure d'amour sous cet astre enchanté,a9R@dtamuRsusEttastRASAte,13
sentirait tout à coup le rêve de son âme,sAtiREtutaku|l@REv@d@sCam,12
s'animer sous les traits d'une chaste beauté ,szanimesuletRE|dt|yn@Sast@bote,12
celui qui sur la mousse au pied du sycomore,s@lHikisyRlamus|opjedysikOmOR,12
au murmure des eaux sous un dais de saphirs,omyRmyR@dezo|suze~dEd@safiR,12
assis à ses genoux de l'une à l'autre aurore,asizaseZ@nu|d@lynalotROROR,12
n'aurait pour lui parler que l'accent des soupirs ,nOREpuRlHipaRle|k@laksAdesupiR,12
celui qui respirant son haleine adorée,s@lHikiREspiRA|sCalEnadORe,12
sentirait ses cheveux soulevés par les vents,sAtiREseS@v2|sul@vepaRlevA,12
caresser en passant sa paupière effleurée,kaReseApasA|sapopjERefl9Re,12
ou rouler sur son front leurs anneaux ondoyants ,uRulesyRsCfRC|l9RzanozCdwajA,12
celui qui suspendant les heures fugitives,s@lHikisyspAdA|le9R@fyZitiv,12
fixant avec l'amour son âme en ce beau lieu,fiksAtavEklamuR|sCamAs@bolj2,12
oublîrait que le temps coule encor sur ces rives,ubliREk@l@tA|kulAkorsyRseRiv,12
serait-il un mortel ou serait-il un dieu ,s@REtile~mORtEl|us@REtile~dj2,12
et nous aux doux penchants de ces verts élysées,enuzodupASA|d@sevERzelize,12
sur ces bords où l'amour eût caché son éden ,syRsebORzulamuR|ykaSesCedEn,12
au murmure plaintif des vagues apaisées,omyRmyR@ple~tif|devag@zapeze,12
aux rayons endormis de l'astre élyséen,oREjCzAdORmi|d@lastRelizee~,12
sous ce ciel où la vie où le bonheur abonde,sus@sjElulavi|ul@bOn9RabCd,12
