Vers,Phonétique,Syllabes
je n'ai jamais aimé pour ma part ces bégueules,Z@neZamEzeme|puRmapaRsebeg9l,12
qui ne sauraient aller au prado toutes seules,kin@soREtale|opRadotut@s9l,12
qu'une duègne toujours de quartier en quartier,kyn@duEJ@tuZuRd@kaRtjeAkaRtje,13
talonne comme fait sa mule au muletier ,talOn@kOm@fE|samylomyl@tjE,12
qui s'usent à prier les genoux et la lèvre,kiszyztapRije|leZ@nuzelalEvR,12
se courbant sur le grès plus pâles dans leur fièvre,s@kuRbAsyRl@gRE|plypal@dAl9RfjEvR,12
qu'un homme qui pieds nus marche sur un serpent,ke~Om@kipjeny|maRS@syRe~sERpA,12
ou qu'un faux monnayeur au moment qu'on le pend,uke~fomonEj2R|omOmAkCl@pA,12
certes ces femmes-là pour mener cette vie,sERt@sefam@la|puRm@nesEt@vi,12
portent un cœur châtré de toute noble envie ,pORtte~k9rSatRed@|tut@nOblAvi,11
elles n'ont pas de sang et pas d'entrailles  mais,El@nCpad@sA|epadtAtRaj@mE,12
sur ma tête et mes os frère je vous promets,syRmatEtemezOs|fRER@Z@vupROmE,12
qu'elles valent encor quatre fois mieux que celles,kEl@valtAkorkatR@fwamj2k@sEl,11
dont le temps se dépense en intrigues nouvelles,dCl@tAs@depAs|Ae~tRig@nuvEl,12
celles-là vont au bal courent les rendez-vous,sEl@lavCtobal|kuRleRAdevu,11
savent dans un manchon cacher un billet doux,savdAze~mASCkaSee~bijEdu,11
serrer un ruban noir sur un beau flanc qui ploie,seRee~RybAnwaR|syRe~boflAkiplwa,12
jeter d'un balcon d'or une échelle de soie,Z@tedte~balkCdtOR|yneSEl@d@swa,12
suivre l'imbroglio de ces amours mignons,sHivR@le~bROljod@|sezamuRminjC,11
poussés en une nuit comme des champignons,pusezAyn@nHi|kOm@deSApinjC,12
si charmantes d'ailleurs  aimant en enragées,siSaRmAt@dtaj9Rz|EmAtAARaZe,12
les moustaches les chiens la valse et les dragées,lemustaS@leSje~|lavalseledRaZe,12
mais oh  la triste chose et l'étrange malheur,mEzolatRist@Soz|eletRAZ@mal9R,12
lorsque dans leurs filets tombe un homme de cœur ,lORsk@dAl9RfilE|tCbe~Om@d@k9r,12
frère mieux lui vaudrait comme ce statuaire,fRER@mj2lHivodRE|kOm@s@statHER,12
qui pressait dans ses bras son amante de pierre,kipResEdAsebRa|sCamAt@d@pjER,12
réchauffer de baisers un marbre mieux vaudrait,ReSofed@bezez|e~maRbR@mj2vodRE,12
une louve affamée en quelque âpre forêt,yn@luvafame|AkElk@apR@fORE,13
ce que je dis ici je le prouve en exemple,s@k@Z@dizisi|Z@l@pRuvAEgzApl,12
j'entre donc en matière et sans discours plus ample,ZAtR@dCkAmatjER|esAdiskuRplyzApl,12
écoutez une histoire ,ekuteynistwaR|,6
un mardi cet été,e~maRdisEttete|,6
vers deux heures de nuit si vous aviez été,vERd29R@d@nHi|sivuzavjeete,12
place san-bernardo contre la jalousie,plas@sAbERnaRdo|kCtR@laZaluzi,12
d'une fenêtre en brique à frange cramoisie,dtyn@f@nEtRAbRik|afRAZ@kRamwazi,12
