Syllabe,Occurrences,Pourcentage
pRi,8,0.31
djA,1,0.04
las,4,0.15
zi,5,0.19
vwaR,4,0.15
spE,4,0.15
tRos,1,0.04
A,13,0.5
pwa,3,0.12
RtiR,2,0.08
spOR,1,0.04
sHER,1,0.04
li,10,0.39
piR,4,0.15
tuR,5,0.19
jC,7,0.27
kbet,1,0.04
jaR,4,0.15
Ri,11,0.43
f2,7,0.27
sAt,9,0.35
bRa,4,0.15
nHi,14,0.54
@,2,0.08
Ze,16,0.62
ny,7,0.27
pe,4,0.15
mwa,18,0.7
ve~,13,0.5
pa,12,0.46
mOR,13,0.5
tA,23,0.89
Rfe~,10,0.39
RE,11,0.43
REl,2,0.08
ky,5,0.19
bli,4,0.15
je,22,0.85
lEj,12,0.46
te,70,2.7
RA,6,0.23
zj2,18,0.7
zyR,8,0.31
lAs,5,0.19
RmiR,2,0.08
fwa,11,0.43
spas,3,0.12
ni,10,0.39
R2,12,0.46
Et,2,0.08
ZuR,20,0.77
d9R,12,0.46
ve,8,0.31
sjEl,12,0.46
ld9j,1,0.04
ko,3,0.12
sA,28,1.08
s2,2,0.08
l9R,18,0.7
Rtu,3,0.12
vEk,9,0.35
sE,7,0.27
ke,5,0.19
le,22,0.85
jz,3,0.12
fC,13,0.5
lwaR,2,0.08
mE,16,0.62
fwaz,3,0.12
di,20,0.77
RdEt,1,0.04
tiR,4,0.15
te~z,3,0.12
swaR,10,0.39
paz,4,0.15
R9R,13,0.5
pwe~,3,0.12
me,12,0.46
t2,2,0.08
p9R,6,0.23
tAt,4,0.15
myR,6,0.23
lwa,2,0.08
lwe~,6,0.23
sj2,3,0.12
dHiR,1,0.04
Rme,3,0.12
kOR,6,0.23
skEz,1,0.04
vER,15,0.58
s2R,1,0.04
naR,1,0.04
la,12,0.46
tRam,1,0.04
kwa,3,0.12
ma,5,0.19
tHe,1,0.04
si,15,0.58
ba,10,0.39
RpA,3,0.12
blEm,2,0.08
me~,16,0.62
njal,2,0.08
mAt,10,0.39
so,3,0.12
Rna,1,0.04
tE,10,0.39
tC,6,0.23
ty,7,0.27
mA,55,2.13
pl9R,7,0.27
mal,4,0.15
tal,6,0.23
ze,19,0.73
njA,5,0.19
fER,9,0.35
Se,15,0.58
saZ,1,0.04
fOR,3,0.12
kOm,4,0.15
bot,1,0.04
RC,8,0.31
de,8,0.31
nal,2,0.08
kal,1,0.04
lE,8,0.31
tje,24,0.93
RZe,3,0.12
foz,1,0.04
kt9R,3,0.12
kRE,6,0.23
REt,2,0.08
dj2,6,0.23
RiR,5,0.19
nHit,4,0.15
sy,2,0.08
gu,3,0.12
muR,10,0.39
jiR,3,0.12
bje~,2,0.08
se,21,0.81
paR,3,0.12
kRez,1,0.04
tEl,1,0.04
bwat,2,0.08
vA,21,0.81
sHi,2,0.08
Rge,1,0.04
v2,3,0.12
Re,30,1.16
pHi,3,0.12
RjA,2,0.08
lHi,5,0.19
zo,9,0.35
zje,1,0.04
2j,4,0.15
Re~,3,0.12
klER,4,0.15
