Syllabe,Occurrences,Pourcentage
Ze,68,0.27
fA,121,0.48
ny,90,0.36
tuR,72,0.28
zyR,56,0.22
myR,30,0.12
me~,147,0.58
pOR,8,0.03
mjER,33,0.13
nA,66,0.26
pyR,36,0.14
pE,26,0.1
fRC,103,0.41
ve~,52,0.21
ful,27,0.11
fl9R,61,0.24
jC,96,0.38
mCd,58,0.23
tA,252,1.0
blA,54,0.21
la,199,0.79
RSe,40,0.16
nHi,148,0.58
lob,23,0.09
tRam,7,0.03
vwa,119,0.47
nwaR,96,0.38
Rso,22,0.09
pjER,19,0.08
ot,14,0.06
sHi,41,0.16
tyd,18,0.07
liR,8,0.03
te,484,1.91
R2,32,0.13
ste~,32,0.13
fwa,102,0.4
v@,2,0.01
maR,2,0.01
ba,106,0.42
je,128,0.51
nam,11,0.04
sEj,8,0.03
En,10,0.04
tCz,5,0.02
pas,16,0.06
C,28,0.11
Re~,40,0.16
sjC,213,0.84
vil,24,0.09
lEj,57,0.23
plas,7,0.03
blE,30,0.12
nHit,26,0.1
ti,48,0.19
pl9R,22,0.09
zj2z,28,0.11
tu,65,0.26
@,12,0.05
Rut,9,0.04
sA,218,0.86
le,129,0.51
Rtyz,2,0.01
vA,173,0.68
lA,55,0.22
m2,14,0.06
fl9v,10,0.04
mAs,35,0.14
sjAs,11,0.04
Rlob,1,0.0
nE,77,0.3
vER,141,0.56
mE,93,0.37
bRij,11,0.04
ze~,16,0.06
Soz,25,0.1
dj2,135,0.53
ZEs,7,0.03
vi,105,0.41
tEl,30,0.12
plyz,22,0.09
Se,128,0.51
REv,23,0.09
d9j,27,0.11
bCz,4,0.02
pe,51,0.2
ze,82,0.32
Rdy,42,0.17
Ri,64,0.25
by,3,0.01
Rn@,1,0.0
nu,69,0.27
n9,4,0.02
mOR,91,0.36
kRi,47,0.19
sjo,1,0.0
t2,10,0.04
ga,5,0.02
tEt,59,0.23
spas,8,0.03
sOk,4,0.02
gzil,7,0.03
SA,75,0.3
ski,3,0.01
mo,61,0.24
bRaz,6,0.02
mal,56,0.22
tE,170,0.67
flo,39,0.15
mEn,19,0.08
Ziz,3,0.01
lje,66,0.26
po,29,0.11
zjC,45,0.18
mwa,108,0.43
mER,81,0.32
se,218,0.86
zj2,68,0.27
Rmi,57,0.23
klav,7,0.03
s2,30,0.12
Rzil,1,0.0
Z2,6,0.02
ply,107,0.42
vCt,12,0.05
ni,105,0.41
RsaZ,1,0.0
Rki,14,0.06
Z9R,22,0.09
fwaz,18,0.07
fRaZ,3,0.01
nC,56,0.22
Rwa,172,0.68
vRiR,13,0.05
sj2,40,0.16
Rje~,72,0.28
vEk,105,0.41
fC,188,0.74
ne,147,0.58
pa,263,1.04
pus,7,0.03
zi,18,0.07
bu,36,0.14
sAz,17,0.07
sj2z,8,0.03
vwaR,144,0.57
twaz,3,0.01
sjEl,97,0.38
dj2z,8,0.03
nje,54,0.21
o,73,0.29
dtOR,56,0.22
skyR,66,0.26
plCZ,3,0.01
lwa,42,0.17
dA,91,0.36
f2,37,0.15
vRil,16,0.06
bC,37,0.15
Rwaz,25,0.1
niR,64,0.25
bRA,3,0.01
Zez,3,0.01
s9l,53,0.21
lC,44,0.17
da,4,0.02
Rs9R,12,0.05
p2,63,0.25
SwaR,2,0.01
zC,104,0.41
Zi,19,0.08
klo,8,0.03
li,31,0.12
tAt,28,0.11
d2,31,0.12
Sez,8,0.03
lil,1,0.0
d9R,81,0.32
RfE,11,0.04
bRyl,6,0.02
tut,28,0.11
dis,21,0.08
s9R,27,0.11
lE,113,0.45
RmA,28,0.11
jiR,18,0.07
lyz,1,0.0
zo,75,0.3
sHiz,9,0.04
mi,71,0.28
Rsoz,2,0.01
bl2,24,0.09
si,181,0.72
is,2,0.01
RmEs,2,0.01
mEl,12,0.05
lfE,9,0.04
vC,28,0.11
lj2,52,0.21
ty,47,0.19
mEm,29,0.11
sE,124,0.49
l9R,69,0.27
fAz,17,0.07
pRi,113,0.45
al,13,0.05
vAz,11,0.04
tam,6,0.02
no,15,0.06
RmyR,5,0.02
saZ,8,0.03
RbEk,1,0.0
j2,20,0.08
p2z,2,0.01
RjAt,8,0.03
RjA,24,0.09
je~,11,0.04
fR2,17,0.07
