Syllabe,Occurrences,Pourcentage
sCZ,5,0.03
tRE,19,0.13
mEj,18,0.12
gRE,6,0.04
pwe~,12,0.08
lwa,12,0.08
Rni,5,0.03
lje,14,0.09
ne,108,0.73
jA,40,0.27
vER,79,0.53
zyR,23,0.15
A,31,0.21
ku,34,0.23
RE,73,0.49
Rty,21,0.14
Rvu,5,0.03
piR,41,0.28
pl9R,23,0.15
le,104,0.7
vRe,15,0.1
pa,161,1.08
si,96,0.64
pyR,38,0.26
stA,13,0.09
tRam,3,0.02
fe~,55,0.37
@,6,0.04
gaR,73,0.49
lOm,30,0.2
vEl,1,0.01
ba,53,0.36
Re,124,0.83
RC,22,0.15
sC,38,0.26
ply,85,0.57
RiR,34,0.23
mo,42,0.28
lC,26,0.17
te~,75,0.5
mwe~,29,0.19
kA,10,0.07
mOR,84,0.56
f2,57,0.38
mid,5,0.03
RSyt,2,0.01
d9j,9,0.06
Re~,15,0.1
gRez,4,0.03
tA,173,1.16
mA,230,1.54
lHi,96,0.64
spas,9,0.06
nHit,19,0.13
Rme~,3,0.02
sA,165,1.11
mE,93,0.62
fyt,3,0.02
vAs,3,0.02
Rpe,3,0.02
Rmi,14,0.09
vid,18,0.12
RA,95,0.64
zC,60,0.4
dis,6,0.04
ky,10,0.07
Rtu,23,0.15
dy,39,0.26
kRe,29,0.19
dRa,9,0.06
twa,86,0.58
te,258,1.73
R2,23,0.15
mAt,26,0.17
gje,4,0.03
tAz,22,0.15
pid,11,0.07
mEm,58,0.39
swaR,59,0.4
Ri,25,0.17
blE,9,0.06
mi,72,0.48
me,71,0.48
pol,5,0.03
se,173,1.16
ziR,28,0.19
tuR,51,0.34
pE,37,0.25
tiR,16,0.11
Se,111,0.75
go,6,0.04
nEf,1,0.01
pje,73,0.49
ve,67,0.45
vi,97,0.65
lEj,64,0.43
ZuR,209,1.4
plas,6,0.04
Rk@,1,0.01
fA,72,0.48
Rse,19,0.13
lwe~,71,0.48
bwa,23,0.15
fwa,66,0.44
a,4,0.03
Rnu,21,0.14
ni,70,0.47
RlOR,1,0.01
s9l,69,0.46
mC,26,0.17
mwa,133,0.89
zo,35,0.23
nit,9,0.06
sOl,21,0.14
lak,21,0.14
blOk,1,0.01
dom,4,0.03
be,25,0.17
bOR,30,0.2
tER,68,0.46
muR,96,0.64
lam,19,0.13
jje,3,0.02
blA,34,0.23
n9R,45,0.3
ve~t,1,0.01
fREz,2,0.01
gRap,2,0.01
