Syllabe,Occurrences,Pourcentage
bal,6,0.09
SC,1,0.02
me,42,0.63
v@,1,0.02
dA,26,0.39
kla,3,0.05
stAz,3,0.05
fER,25,0.38
loz,2,0.03
fC,12,0.18
nu,20,0.3
jC,13,0.2
twa,33,0.5
Rmi,4,0.06
Ryd,2,0.03
jAt,2,0.03
sA,32,0.48
ksAz,1,0.02
tER,10,0.15
zj2,25,0.38
bOR,12,0.18
bu,11,0.17
fil,9,0.14
RmA,10,0.15
l@,1,0.02
@,3,0.05
ste~,5,0.08
tEj,1,0.02
tot,5,0.08
be,11,0.17
lA,23,0.35
sy,10,0.15
Rg2j,4,0.06
Za,13,0.2
sC,14,0.21
kt9R,18,0.27
dto,2,0.03
v2,11,0.17
me~,61,0.92
zyR,9,0.14
blA,18,0.27
niR,23,0.35
ble,4,0.06
dOR,8,0.12
ko,5,0.08
kRE,10,0.15
sjC,24,0.36
Re,65,0.98
Rsi,4,0.06
vER,31,0.47
lwe~,27,0.41
sjEl,35,0.53
pa,75,1.13
tRaZ,1,0.02
la,63,0.95
nj9R,6,0.09
ply,24,0.36
ssA,1,0.02
lHi,34,0.51
nC,22,0.33
fRC,17,0.26
v2z,4,0.06
mA,77,1.16
am,7,0.11
ze~,7,0.11
mCd,21,0.32
bul,1,0.02
m9R,3,0.05
s9l,18,0.27
mAt,13,0.2
Rwez,1,0.02
lje,15,0.23
l9R,29,0.44
lEz,4,0.06
sje,5,0.08
Rse~,1,0.02
ze,53,0.8
paR,4,0.06
Rwa,18,0.27
paz,12,0.18
vRiR,6,0.09
Z9R,9,0.14
zo,9,0.14
fAZ,1,0.02
si,56,0.84
tjC,2,0.03
Ri,21,0.32
pwe~,10,0.15
Rnu,3,0.05
fA,38,0.57
mER,19,0.29
lER,10,0.15
pl9R,16,0.24
mo,29,0.44
RmiR,3,0.05
nje,16,0.24
ny,43,0.65
te,145,2.18
ZuR,64,0.96
kjEt,4,0.06
nEt,9,0.14
dam,4,0.06
ksE,2,0.03
fwa,33,0.5
lEj,29,0.44
tA,94,1.41
dji,9,0.14
Se,28,0.42
A,14,0.21
voz,2,0.03
SiR,6,0.09
muR,49,0.74
se~,14,0.21
mEm,18,0.27
se,82,1.23
lu,3,0.05
ne,28,0.42
li,19,0.29
RmAz,1,0.02
dCk,24,0.36
maZ,1,0.02
mOR,13,0.2
lAt,5,0.08
Rdy,8,0.12
stAt,3,0.05
s2R,4,0.06
ku,22,0.33
knuz,1,0.02
pEl,4,0.06
du,9,0.14
sE,23,0.35
