Syllabe,Occurrences,Pourcentage
R9R,12,0.49
tC,7,0.29
ty,9,0.37
je,73,2.97
mA,61,2.48
l9R,24,0.98
mal,4,0.16
tal,6,0.24
ze,19,0.77
jA,15,0.61
fER,10,0.41
vER,13,0.53
Se,20,0.81
saZ,1,0.04
fOR,4,0.16
kOm,6,0.24
bot,1,0.04
RC,12,0.49
de,12,0.49
nal,2,0.08
kal,1,0.04
sA,29,1.18
Ri,26,1.06
lE,10,0.41
ni,11,0.45
mAt,10,0.41
Ze,18,0.73
foz,1,0.04
t9R,8,0.33
RE,29,1.18
REt,3,0.12
te,76,3.1
j2,38,1.55
ba,9,0.37
RiR,6,0.24
Hit,4,0.16
sy,2,0.08
zi,4,0.16
gu,3,0.12
pa,12,0.49
muR,10,0.41
jiR,3,0.12
di,19,0.77
je~,10,0.41
se,27,1.1
si,15,0.61
paR,3,0.12
Rez,1,0.04
tEl,6,0.24
wat,2,0.08
vA,21,0.86
tA,22,0.9
Hi,24,0.98
ge,3,0.12
sE,7,0.29
ve~,11,0.45
v2,3,0.12
Re,41,1.67
jz,2,0.08
zo,9,0.37
2j,4,0.16
Re~,8,0.33
lER,8,0.33
mEd,1,0.04
j2R,1,0.04
R2,16,0.65
mE,19,0.77
tAz,6,0.24
dy,8,0.33
ny,6,0.24
dEm,1,0.04
fE,11,0.45
se~,7,0.29
til,5,0.2
zyR,7,0.29
le,28,1.14
bo,12,0.49
bEk,2,0.08
pEt,4,0.16
sOl,3,0.12
wa,57,2.32
lEj,11,0.45
fe~,13,0.53
m2z,2,0.08
Z9R,4,0.16
pyR,2,0.08
li,15,0.61
Hiz,2,0.08
p2,3,0.12
SA,10,0.41
vi,10,0.41
ko,2,0.08
R2z,6,0.24
jC,29,1.18
niR,9,0.37
zEt,1,0.04
fam,2,0.08
sCZ,1,0.04
RaZ,3,0.12
ji,3,0.12
lOm,2,0.08
lo,7,0.29
ta,2,0.08
nEl,7,0.29
d2R,1,0.04
nEs,2,0.08
dA,7,0.29
jEl,12,0.49
sCz,1,0.04
RES,1,0.04
ly,15,0.61
mAz,3,0.12
pe~,2,0.08
fi,3,0.12
vag,1,0.04
s9R,7,0.29
g2j,5,0.2
lik,5,0.2
val,1,0.04
le~,7,0.29
HiR,3,0.12
waR,27,1.1
mCz,1,0.04
me,14,0.57
j9R,2,0.08
ne,24,0.98
bOR,3,0.12
las,3,0.12
tuR,3,0.12
p9R,5,0.2
we~,15,0.61
lA,13,0.53
pA,4,0.16
fe,4,0.16
dCk,2,0.08
sEk,2,0.08
lOR,3,0.12
um,1,0.04
Ze~,2,0.08
pe,5,0.2
wiR,3,0.12
fA,6,0.24
d9R,11,0.45
wan,1,0.04
myR,7,0.29
A,12,0.49
me~z,1,0.04
fy,3,0.12
la,11,0.45
de~,3,0.12
n9f,2,0.08
Ru,2,0.08
mi,12,0.49
dC,6,0.24
sC,9,0.37
kOR,5,0.2
ky,4,0.16
tik,1,0.04
Rut,1,0.04
RAt,9,0.37
joz,2,0.08
zEm,2,0.08
ZuR,19,0.77
paz,3,0.12
j2z,13,0.53
d2,1,0.04
nE,9,0.37
lu,1,0.04
dAz,3,0.12
dE,4,0.16
po,6,0.24
nEt,2,0.08
d9j,2,0.08
fid,2,0.08
baR,1,0.04
jaZ,1,0.04
He,3,0.12
Si,1,0.04
jez,3,0.12
s9l,5,0.2
zu,2,0.08
Ct,2,0.08
kEl,3,0.12
vo,3,0.12
ke~,3,0.12
HEt,1,0.04
nEZ,1,0.04
fC,13,0.53
ve,7,0.29
loz,1,0.04
nez,3,0.12
tyR,2,0.08
REn,1,0.04
ziR,19,0.77
Raj,2,0.08
nA,9,0.37
taz,1,0.04
fCt,3,0.12
tE,9,0.37
v9R,4,0.16
ZAb,2,0.08
Hil,1,0.04
poz,2,0.08
tER,4,0.16
zE,3,0.12
sEt,4,0.16
zOR,4,0.16
so,3,0.12
aR,1,0.04
dit,2,0.08
pEl,1,0.04
we,4,0.16
nCz,1,0.04
laR,2,0.08
min,1,0.04
tEt,7,0.29
ti,12,0.49
me~,15,0.61
laS,2,0.08
zaR,4,0.16
tut,3,0.12
mOR,11,0.45
i,2,0.08
lAt,2,0.08
bC,8,0.33
ZEm,1,0.04
RA,8,0.33
H9R,4,0.16
d2z,2,0.08
mez,1,0.04
s2z,1,0.04
l2j,2,0.08
am,4,0.16
te~,15,0.61
bEn,2,0.08
