jal,11
niR,64
lER,78
lEt,57
zAz,13
nOm,4
sAt,28
myR,34
dis,19
mAz,24
R9R,104
vAt,37
tOR,59
REk,3
ve~t,7
Ram,4
nal,12
tot,3
dig,5
sEl,17
v9R,20
j9R,54
Rav,16
sif,44
Sez,7
tus,34
jER,111
tAz,29
dit,35
RCt,27
nEf,4
muR,70
zyR,52
Rud,2
sEj,7
nEl,40
gER,16
jaR,30
voz,7
jEl,99
liz,11
pER,20
kyR,63
dEl,5
tit,14
lis,13
sin,5
pAz,2
gyR,12
ROR,24
tEl,39
vif,3
gaR,45
lyl,1
Ras,20
g2j,15
Rin,4
jiR,17
SAt,23
k9j,15
vER,139
fEz,10
sOR,34
tEv,1
lam,38
vOl,21
lAz,9
mEj,16
pas,24
lCb,5
b9R,4
vaj,19
lCd,12
dOR,17
l9R,144
Rit,29
tuR,69
mEm,28
nEs,3
fiR,3
pyR,37
jCz,38
fAz,16
Riv,9
t9R,49
syR,9
SEn,11
lin,6
Ran,5
sil,6
pEt,16
mCt,14
l9v,9
p9R,40
lEj,54
SiR,10
m2t,3
vit,12
k9R,30
j2z,87
tyR,40
sOn,9
b2f,9
REs,20
mAt,66
jez,32
zaR,26
Roz,24
sOk,3
tER,92
mEl,10
daR,3
d9R,75
zoz,3
fOl,5
mOR,86
kuR,20
fil,34
tEt,63
paz,59
RiR,70
fEt,43
lAt,32
diR,21
tut,33
RCz,23
pEn,15
Ris,5
fAt,21
fos,9
miR,28
liR,12
tez,16
zOR,8
fER,72
dEt,19
nEt,28
moz,13
mCd,56
bim,28
bEl,15
toz,5
REz,27
lat,9
nit,22
fCz,4
ziR,20
vis,12
but,6
se~t,13
dus,5
R2z,32
pOR,9
m2z,4
nOR,8
tij,2
RAt,37
maj,1
Soz,23
sAz,18
tiz,5
sad,3
lOR,22
pal,15
pEl,8
fas,17
viz,3
Ruj,1
Ral,17
kEl,19
lyn,8
dAt,13
pid,8
pAS,4
lOm,70
lyt,12
fam,22
lEz,14
SOk,11
nim,2
jAt,36
pij,1
vin,3
lEv,12
koz,3
REv,23
Sof,2
mER,81
kOd,2
j2R,3
me~z,9
z9R,2
fOR,24
se~z,5
tiR,39
bEt,17
sOl,6
jEf,2
boS,3
diz,13
dat,2
nCz,4
m9R,28
Rom,5
vil,24
be~z,1
bas,2
n2z,4
piR,26
tig,5
pCp,1
vEt,18
kil,6
vCz,6
kul,4
lEn,14
bik,2
bom,1
tom,11
nyz,6
nAt,20
las,36
bat,6
Riz,29
RAs,21
Rap,6
mon,5
loz,9
tEn,11
tEs,4
mAk,3
RAS,4
tAt,36
paR,30
Rez,18
zis,1
sEk,2
s2R,15
lOn,1
kOR,19
kif,7
zik,5
v@n,1
suS,1
REj,27
l2j,17
bOR,25
REp,3
lAS,13
sEt,27
lob,21
pis,5
mCz,15
laR,6
tik,8
dal,3
dyR,10
jiz,2
fon,5
Rym,14
zAt,10
pol,8
gam,1
til,50
s9l,49
n9R,29
ROl,7
d9j,28
pAt,13
Re~z,5
ROb,4
RAp,6
did,8
byt,10
Ril,20
zER,21
sAs,15
jOR,2
zil,11
REn,15
fAs,8
gal,13
jOl,8
z2R,1
l2R,2
pEz,9
pOk,1
SER,11
dOn,11
siz,4
kEn,1
Rat,5
mAs,34
jAs,14
nob,2
SAz,13
tEm,2
tEz,10
jAz,8
lik,6
vej,5
vEk,104
v2t,2
kyl,12
pAs,2
lyz,20
tCb,27
lym,7
pus,6
S2z,2
fot,15
fCt,19
mEn,18
vAz,10
taz,6
mal,52
Rob,1
Sot,2
tif,17
ful,27
s9j,20
Rad,3
lif,2
viv,4
Re~s,9
zOs,8
baR,2
sat,2
buS,16
fov,10
Rid,6
Ryt,7
fyz,5
REt,54
vuz,20
mEt,16
RER,3
dCk,27
vag,8
vEz,8
taR,8
duz,1
nER,12
vCt,6
ROk,13
R9v,4
S9R,19
je~z,9
mot,4
bEk,3
lAs,22
bil,9
fyt,7
jEz,2
Sil,2
buR,5
nEz,7
poz,9
niz,8
jit,3
Rij,11
gEt,2
fis,1
s9R,35
kaj,1
pin,6
maR,1
zez,5
tiv,6
lCz,4
zEt,12
byR,1
miz,13
paj,10
lOt,13
RuS,15
kEt,4
foz,2
naj,1
luz,3
lim,8
tas,2
de~z,2
kAz,5
lOb,5
nuz,13
RCd,9
d2z,14
mEz,18
pyt,2
laS,5
gAt,4
zCz,3
sCz,6
dut,4
sEs,9
gCd,1
biR,2
lEm,10
pOt,2
zuj,2
faR,4
baz,19
Raz,13
lez,15
sez,9
kan,1
p2t,6
maz,1
zEz,1
fij,9
kob,3
luR,7
kym,6
dyz,5
pit,3
muS,4
jOn,4
sEv,3
sEz,4
lES,2
bEz,4
Raj,7
je~t,15
viR,13
Rul,7
mit,9
lOk,11
te~z,6
ROS,8
Syt,8
tav,1
Rif,8
Sat,1
mEs,6
REl,10
tal,15
tyd,17
zit,3
dAs,6
Rim,6
bit,4
gut,6
fit,3
v2z,3
dam,4
lan,5
pOn,1
tAs,4
kut,5
zif,2
myz,1
nik,1
kaS,5
nez,10
tuz,1
Ryk,1
j9l,9
Rik,3
ROf,3
lav,9
saS,1
tip,1
RAz,13
dEz,3
pe~t,1
suR,3
tEj,1
sOm,3
sid,2
tin,2
kOl,3
kiz,4
sEn,3
kCk,3
sER,18
zOf,2
kCt,4
lad,2
sut,1
Sit,1
kOm,5
tOn,7
fe~z,2
bEn,1
jEt,14
RES,2
RiS,5
sal,15
kap,3
SEs,1
kas,1
puR,1
tOm,9
mus,3
Rop,2
bEs,2
g2z,3
t2z,7
vid,7
lyR,3
Ryz,6
gEj,1
bal,2
zEl,2
tis,12
ze~z,2
lOg,3
val,15
zuz,1
SEz,2
naS,1
bCd,2
Ruz,2
som,2
SEt,7
nuj,2
lAp,2
Ruv,7
jyR,2
fik,2
lak,4
puz,2
soz,6
juz,2
fCd,6
t2j,3
lOp,2
lid,2
jEn,2
lit,6
vEj,6
Rut,13
san,1
tyz,1
tuS,3
mOm,2
goS,4
fEm,2
Ron,9
ROs,9
nyt,3
taS,3
pEs,1
RaS,3
RCp,1
min,4
dyk,5
siR,5
jet,3
bAd,2
zCt,2
doz,2
bOn,4
REm,3
zAs,2
kez,4
dAz,2
pik,5
tat,4
daz,1
tim,2
liv,1
bCz,3
fiz,2
taj,10
RCb,4
RCs,3
ke~z,1
jom,4
Rok,1
fal,1
saR,2
nas,2
noz,2
mAS,2
lOs,3
t9j,2
nys,4
dOm,2
kaz,3
bAt,1
RAl,2
fym,2
bez,2
SaR,9
mas,1
kEz,1
lEp,1
kyz,1
le~d,2
te~t,2
SEl,3
vut,2
dik,1
SEf,5
sak,3
zyv,1
das,2
gAz,1
RaR,2
joz,2
taf,1
man,1
nAz,2
sCt,9
tCz,3
Ryl,4
jot,3
pap,1
ne~f,2
buk,1
le~p,3
syz,3
lyd,1
tCd,1
sEd,3
dyl,1
fuR,3
biz,2
Rup,3
jEs,2
Ryd,2
jEj,2
RyR,3
lEs,5
bEj,1
dEn,4
RAd,5
vaS,1
tyn,2
vuR,1
ROm,4
ban,2
pES,1
mov,1
tak,1
mun,1
te~g,1
n9z,1
R9j,1
lup,1
los,1
zon,1
fCs,1
kud,1
mos,1
sit,1
tEb,2
nyl,5
bEg,1
lEl,1
mAd,5
top,1
pe~z,1
nid,2
l2f,1
byl,2
sim,3
tos,1
kuz,1
nAs,1
lon,1
nad,1
kyn,3
sEm,1
laz,3
Rod,2
pyl,2
sAd,1
saj,1
Sov,2
kiv,1
tyt,1
lul,1
kyv,2
vOk,1
lil,1
v9v,4
ROt,2
Re~t,2
kiR,1
zan,1
puj,1
kov,1
bav,2
sot,2
zyn,1
jOS,2
mez,2
dif,1
l2z,2
dom,1
lot,1
lCt,1
nEn,1
nCs,1
kav,2
pCt,1
nak,1
Ros,3
faS,1
dCz,1
mOl,2
siv,2
gez,1
mij,5
pez,1
fys,1
ve~z,1
boz,2
byS,1
jad,1
f2z,2
bCb,2
suz,2
byz,1
kus,1
Ryn,1
kit,1
vat,1
vEl,2
syd,2
ziz,1
SCz,2
Reb,1
lok,1
dOl,1
Sap,3
syl,1
piz,1
byn,2
f9j,1
kup,1
giz,1
buz,1
lAg,2
dil,1
kCz,1
Siz,1
k2z,1
vAs,1
van,1
myn,1
n9f,1
lAd,1
bij,1
nOt,1
lCg,1
p2z,1
fuj,1
jEd,1
ROn,1
g9l,1
