Syllabe,Occurrences,Pourcentage
te,320,2.24
RA,125,0.88
mC,25,0.18
lam,23,0.16
lCz,3,0.02
we~,125,0.88
H9R,17,0.12
e,14,0.1
je,303,2.12
R2,37,0.26
Ra,79,0.55
lEn,13,0.09
tuR,47,0.33
mA,242,1.69
piR,41,0.29
tif,25,0.18
tCb,18,0.13
se,192,1.34
Hi,243,1.7
nu,63,0.44
am,43,0.3
sA,177,1.24
muR,93,0.65
jEl,172,1.2
te~,112,0.78
Se,125,0.88
vid,17,0.12
zyR,20,0.14
lAs,23,0.16
wa,500,3.5
nA,40,0.28
ZuR,199,1.39
ni,71,0.5
sE,43,0.3
waR,165,1.16
SA,48,0.34
de,34,0.24
mER,54,0.38
lAp,4,0.03
jER,50,0.35
lA,119,0.83
tiZ,2,0.01
lCd,12,0.08
f2j,1,0.01
lyn,2,0.01
lyt,5,0.04
le~,18,0.13
ku,33,0.23
RE,137,0.96
mus,6,0.04
zo,31,0.22
le,147,1.03
v2,21,0.15
RC,83,0.58
dA,45,0.32
tA,202,1.41
tEl,77,0.54
mi,85,0.6
vi,98,0.69
l2j,20,0.14
Re,218,1.53
dAt,14,0.1
vE,40,0.28
So,11,0.08
bim,12,0.08
nys,3,0.02
lo,61,0.43
l9R,100,0.7
pa,165,1.16
nEl,43,0.3
se~,73,0.51
Ru,9,0.06
Ze,77,0.54
ve,67,0.47
niR,63,0.44
kE,6,0.04
liR,16,0.11
vo,29,0.2
sa,10,0.07
me~,143,1.0
gaR,71,0.5
bo,53,0.37
jAt,17,0.12
s9l,68,0.48
siv,3,0.02
lid,1,0.01
ne,122,0.85
mAt,26,0.18
tAt,19,0.13
mE,102,0.71
zaR,29,0.2
ly,97,0.68
fER,26,0.18
tyd,6,0.04
RAs,24,0.17
we~z,6,0.04
mEm,60,0.42
m2z,3,0.02
RAd,1,0.01
zER,48,0.34
k9R,21,0.15
jAz,2,0.01
fA,69,0.48
nC,67,0.47
Ril,7,0.05
tER,75,0.53
ge,10,0.07
si,109,0.76
pEn,14,0.1
vAz,8,0.06
Ct,4,0.03
Z2,10,0.07
j2,368,2.58
REm,4,0.03
pE,49,0.34
Hit,28,0.2
REt,25,0.18
pEl,9,0.06
tEn,4,0.03
lin,12,0.08
HE,11,0.08
mOR,81,0.57
SaR,12,0.08
lEj,61,0.43
sy,22,0.15
so,33,0.23
zA,43,0.3
tim,1,0.01
laZ,7,0.05
paz,48,0.34
mCd,32,0.22
je~,103,0.72
pyR,38,0.27
Ri,144,1.01
fOR,14,0.1
mEn,12,0.08
RCz,6,0.04
jC,176,1.23
miR,19,0.13
vA,100,0.7
ze,86,0.6
lAt,19,0.13
SE,13,0.09
m9R,17,0.12
sC,36,0.25
wE,6,0.04
kOR,40,0.28
mo,44,0.31
sAt,25,0.18
lOt,2,0.01
lyz,14,0.1
vOl,9,0.06
ty,43,0.3
He~,5,0.04
vu,32,0.22
ke,6,0.04
ti,23,0.16
j2z,34,0.24
te~t,6,0.04
las,26,0.18
k9j,9,0.06
fe~,66,0.46
m2,5,0.04
suR,2,0.01
tEt,20,0.14
bOR,29,0.2
Rit,13,0.09
ba,49,0.34
jA,58,0.41
fy,9,0.06
lER,32,0.22
fis,5,0.04
me,88,0.62
be,29,0.2
tys,2,0.01
kym,9,0.06
R9R,29,0.2
la,35,0.25
k2,3,0.02
ji,21,0.15
doz,1,0.01
ko,19,0.13
ve~,75,0.53
lE,50,0.35
siR,3,0.02
bu,13,0.09
tE,45,0.32
ziR,27,0.19
bCt,3,0.02
vER,77,0.54
pe,53,0.37
jaR,17,0.12
v9R,9,0.06
ny,27,0.19
nE,21,0.15
sEt,6,0.04
tu,33,0.23
Ro,28,0.2
fE,24,0.17
n9R,41,0.29
sij,2,0.01
t2R,1,0.01
di,46,0.32
nuz,14,0.1
j9R,61,0.43
zC,58,0.41
tOR,24,0.17
Si,25,0.18
pOR,7,0.05
f2,55,0.39
dy,48,0.34
k2z,2,0.01
gal,9,0.06
lC,29,0.2
ma,15,0.11
dit,13,0.09
de~,29,0.2
dEn,2,0.01
Hiz,19,0.13
SC,3,0.02
Rez,15,0.11
lOm,29,0.2
jEt,5,0.04
ROR,11,0.08
we,9,0.06
2j,15,0.11
f2z,5,0.04
fiR,6,0.04
jEn,2,0.01
jiR,9,0.06
Roz,9,0.06
tez,8,0.06
kif,6,0.04
taR,5,0.04
kyR,21,0.15
til,30,0.21
pCt,4,0.03
g2j,9,0.06
Re~,18,0.13
to,29,0.2
tC,15,0.11
t9R,52,0.36
paR,20,0.14
waz,36,0.25
li,64,0.45
Z2z,2,0.01
pas,13,0.09
El,14,0.1
A,30,0.21
mEz,14,0.1
d9R,18,0.13
naZ,2,0.01
ze~,3,0.02
tal,27,0.19
tAz,21,0.15
tyR,32,0.22
Rap,3,0.02
REv,10,0.07
at,2,0.01
mEj,16,0.11
vag,13,0.09
RAt,26,0.18
fil,24,0.17
R2z,9,0.06
ZEs,4,0.03
dEl,8,0.06
kup,5,0.04
SiR,9,0.06
bEn,1,0.01
dis,4,0.03
dE,18,0.13
lAg,6,0.04
H2,3,0.02
maz,3,0.02
jCz,10,0.07
dOR,15,0.11
RiR,38,0.27
sOR,20,0.14
nez,5,0.04
sEs,4,0.03
bA,18,0.13
kA,9,0.06
pi,16,0.11
lik,4,0.03
aS,1,0.01
pEz,11,0.08
lez,3,0.02
nAt,7,0.05
d9j,8,0.06
sol,1,0.01
pER,18,0.13
po,16,0.11
s9j,8,0.06
S9R,11,0.08
nis,1,0.01
tik,6,0.04
REz,17,0.12
At,10,0.07
syz,2,0.01
lAZ,3,0.02
Ron,4,0.03
be~,2,0.01
lOR,19,0.13
n2z,3,0.02
o,55,0.39
bil,9,0.06
val,3,0.02
ZA,13,0.09
jal,3,0.02
C,4,0.03
