Syllabe,Occurrences,Pourcentage
me,48,0.74
le,58,0.89
fE,24,0.37
je,125,1.92
RE,74,1.14
ny,42,0.65
j2R,1,0.02
la,67,1.03
sA,35,0.54
zOs,4,0.06
pAs,4,0.06
waR,101,1.56
tOR,27,0.42
Hi,87,1.34
je~,74,1.14
Soz,6,0.09
lE,49,0.75
Ra,52,0.8
zez,5,0.08
si,57,0.88
jER,26,0.4
do,5,0.08
Rik,3,0.05
my,4,0.06
de,21,0.32
pi,7,0.11
kC,14,0.22
fe~z,1,0.02
te,170,2.62
se~,14,0.22
se,89,1.37
vE,18,0.28
Ri,71,1.09
we~,66,1.02
RAt,10,0.15
RAd,1,0.02
nE,18,0.28
ti,17,0.26
pa,82,1.26
me~z,6,0.09
tEt,15,0.23
doz,3,0.05
mOR,12,0.18
muR,48,0.74
kOR,19,0.29
Re,96,1.48
mA,86,1.32
buS,1,0.02
lo,12,0.18
tA,123,1.89
te~,27,0.42
so,14,0.22
bit,3,0.05
SA,24,0.37
nAt,10,0.15
Es,8,0.12
ki,6,0.09
ve,39,0.6
lOR,23,0.35
fER,25,0.38
wa,176,2.71
p2,11,0.17
REs,9,0.14
Rit,4,0.06
ze,52,0.8
le~,10,0.15
fEt,5,0.08
mAt,12,0.18
vu,31,0.48
me~,58,0.89
to,23,0.35
tE,25,0.38
zC,21,0.32
nEs,4,0.06
lC,15,0.23
lA,45,0.69
Raz,5,0.08
pas,4,0.06
we~t,4,0.06
pCs,2,0.03
fij,7,0.11
mi,38,0.59
t2,5,0.08
vA,30,0.46
ZyR,3,0.05
RuZ,3,0.05
jE,18,0.28
Hif,1,0.02
nap,1,0.02
j2,116,1.79
til,30,0.46
na,15,0.23
s9l,18,0.28
taj,5,0.08
dA,35,0.54
sij,1,0.02
ze~,6,0.09
l2,8,0.12
v2z,3,0.05
Se,32,0.49
gC,2,0.03
pe,21,0.32
ty,37,0.57
RA,54,0.83
jEs,1,0.02
RCt,9,0.14
tu,21,0.32
Z9n,6,0.09
dCk,23,0.35
vy,12,0.18
tuR,11,0.17
ROl,4,0.06
vER,30,0.46
gaR,11,0.17
de~,5,0.08
ja,6,0.09
fam,11,0.17
Re~,15,0.23
d9R,12,0.18
v2,10,0.15
fA,37,0.57
fo,3,0.05
va,7,0.11
mot,2,0.03
HA,1,0.02
fas,3,0.05
sit,2,0.03
jA,25,0.38
H9R,6,0.09
S9R,3,0.05
El,4,0.06
ly,31,0.48
ziR,30,0.46
Rav,1,0.02
bOt,1,0.02
sOl,2,0.03
zit,1,0.02
jaZ,2,0.03
vi,30,0.46
las,16,0.25
ku,22,0.34
mE,31,0.48
Ryt,2,0.03
mCd,20,0.31
REl,7,0.11
n9,1,0.02
laS,1,0.02
Rez,1,0.02
lEj,28,0.43
l2z,2,0.03
ta,10,0.15
tAz,23,0.35
bas,1,0.02
bOR,11,0.17
dAz,1,0.02
diz,7,0.11
y,1,0.02
po,10,0.15
jCz,6,0.09
myR,10,0.15
ba,35,0.54
R9R,7,0.11
tOn,2,0.03
lEt,7,0.11
sE,26,0.4
Ro,15,0.23
ji,10,0.15
di,35,0.54
zAz,4,0.06
pEn,3,0.05
Rid,5,0.08
nA,19,0.29
fot,1,0.02
a,1,0.02
Raj,1,0.02
kE,9,0.14
l9R,59,0.91
RiR,33,0.51
kA,4,0.06
sa,11,0.17
REt,17,0.26
jEl,33,0.51
za,3,0.05
pid,2,0.03
bEn,2,0.03
Za,12,0.18
pA,3,0.05
lEz,5,0.08
kCd,3,0.05
Ze,36,0.55
nit,3,0.05
v9R,8,0.12
sEs,6,0.09
nCd,1,0.02
niR,22,0.34
sCZ,6,0.09
te~t,1,0.02
dal,1,0.02
j9R,16,0.25
tal,8,0.12
REv,8,0.12
pEl,4,0.06
zaR,28,0.43
zi,10,0.15
d2z,1,0.02
li,28,0.43
tER,14,0.22
lER,17,0.26
be,13,0.2
syR,7,0.11
kCt,4,0.06
ke,6,0.09
lit,5,0.08
Sa,1,0.02
tEn,1,0.02
sEt,4,0.06
jC,51,0.79
Rom,5,0.08
diR,8,0.12
lAp,7,0.11
zA,26,0.4
jal,2,0.03
SiR,5,0.08
kuR,9,0.14
sAt,9,0.14
jiR,5,0.08
but,3,0.05
Ry,13,0.2
Ha,7,0.11
l2R,1,0.02
bal,5,0.08
bi,3,0.05
mEj,8,0.12
pyR,17,0.26
Om,6,0.09
mEd,3,0.05
mER,19,0.29
fAt,5,0.08
lu,2,0.03
luz,2,0.03
tEl,24,0.37
Rin,2,0.03
Hit,7,0.11
sC,18,0.28
fe~,18,0.28
RC,31,0.48
f2,11,0.17
bu,9,0.14
dOm,1,0.02
i,8,0.12
voz,1,0.02
bil,3,0.05
ZuR,66,1.02
En,4,0.06
n@z,1,0.02
pE,15,0.23
zE,16,0.25
lAs,6,0.09
fyt,1,0.02
dut,5,0.08
ve~t,3,0.05
jEj,3,0.05
vit,4,0.06
lAz,3,0.05
jaR,18,0.28
Riz,12,0.18
naS,1,0.02
ot,3,0.05
REj,5,0.08
dus,5,0.08
zOR,5,0.08
vOk,1,0.02
dOR,7,0.11
lyn,3,0.05
RAs,5,0.08
R2,19,0.29
liR,7,0.11
t2z,2,0.03
zaZ,4,0.06
dE,6,0.09
tC,13,0.2
nu,22,0.34
tAt,8,0.12
maR,2,0.03
gid,1,0.02
fiR,3,0.05
lup,1,0.02
ko,5,0.08
bA,4,0.06
zyR,8,0.12
tiR,12,0.18
t9R,25,0.38
tCb,4,0.06
vEj,4,0.06
dy,16,0.25
k9R,5,0.08
ky,5,0.08
du,8,0.12
nEt,9,0.14
nOm,4,0.06
vuz,4,0.06
sER,5,0.08
mo,29,0.45
jz,2,0.03
gAz,1,0.02
He,6,0.09
SE,5,0.08
A,13,0.2
fuR,2,0.03
ROS,5,0.08
fOR,3,0.05
tEs,3,0.05
siR,1,0.02
mEt,3,0.05
R2z,9,0.14
jEt,7,0.11
vid,3,0.05
Sod,2,0.03
tom,1,0.02
p9R,6,0.09
Z9R,8,0.12
o,11,0.17
tif,3,0.05
s9R,6,0.09
vil,2,0.03
vis,3,0.05
loz,1,0.02
tot,4,0.06
niS,1,0.02
j9l,2,0.03
dyz,1,0.02
fCt,1,0.02
mEz,4,0.06
we,3,0.05
Zi,4,0.06
d2,3,0.05
doS,6,0.09
e,5,0.08
nOs,1,0.02
nys,3,0.05
Re~t,6,0.09
ZE,12,0.18
mal,17,0.26
pC,5,0.08
zin,4,0.06
gu,6,0.09
s2z,2,0.03
miR,6,0.09
ve~,29,0.45
j2z,22,0.34
paz,13,0.2
ZC,1,0.02
fAz,4,0.06
RAZ,6,0.09
nj,10,0.15
Ruv,1,0.02
saR,1,0.02
SEs,1,0.02
pEt,3,0.05
maz,1,0.02
ni,17,0.26
REd,1,0.02
nC,22,0.34
poz,2,0.03
fil,8,0.12
te~z,3,0.05
mC,4,0.06
kAt,2,0.03
