Syllabe,Occurrences,Pourcentage
kOR,7,0.27
Rmin,2,0.08
Rdi,2,0.08
Sa,3,0.12
ltuS,1,0.04
pa,11,0.43
Rj2,6,0.23
mER,32,1.25
RSe,3,0.12
m2z,1,0.04
ROl,1,0.04
sA,19,0.74
dwa,2,0.08
jA,2,0.08
bER,1,0.04
sC,7,0.27
lE,8,0.31
kRim,4,0.16
zj2,7,0.27
vin,2,0.08
bR9v,2,0.08
tOn,7,0.27
zik,5,0.19
bwaR,1,0.04
lwaR,10,0.39
bl2,3,0.12
El,4,0.16
te,79,3.07
nHi,15,0.58
sfEm,4,0.16
pid,6,0.23
mOR,14,0.54
tREs,9,0.35
mjER,7,0.27
fRER,4,0.16
bo,19,0.74
vEj,1,0.04
Rwas,1,0.04
vid,10,0.39
lEj,9,0.35
swaR,14,0.54
vER,17,0.66
sOR,1,0.04
me~,9,0.35
moR,3,0.12
dOR,1,0.04
zC,18,0.7
je,6,0.23
nEs,4,0.16
gas,1,0.04
Rkyl,3,0.12
se,8,0.31
stal,3,0.12
fe~,7,0.27
RwaR,1,0.04
sd2,1,0.04
Rd2,2,0.08
k9R,11,0.43
tjER,6,0.23
SER,9,0.35
Se,10,0.39
lEt,9,0.35
mA,24,0.93
Ral,1,0.04
ndis,1,0.04
lje,17,0.66
pl9R,8,0.31
luv,1,0.04
sEv,2,0.08
kt9R,1,0.04
las,2,0.08
RnEl,9,0.35
baR,2,0.08
fam,11,0.43
nik,4,0.16
nEt,2,0.08
fREl,3,0.12
Rde~,1,0.04
de~,2,0.08
Rty,2,0.08
ve,5,0.19
dji,3,0.12
plis,1,0.04
me,19,0.74
sH9R,1,0.04
fOR,10,0.39
sj2,16,0.62
gRa,1,0.04
vo,9,0.35
ma,6,0.23
luR,4,0.16
zin,4,0.16
tEj,1,0.04
taj,2,0.08
Zi,4,0.16
muR,5,0.19
fC,7,0.27
kad,1,0.04
zyR,2,0.08
zER,19,0.74
RA,4,0.16
vAt,9,0.35
mCd,14,0.54
fR2,2,0.08
so,7,0.27
gRav,2,0.08
tER,18,0.7
Rmij,1,0.04
s2R,1,0.04
se~,10,0.39
mwa,3,0.12
Roz,7,0.27
plo,1,0.04
lC,3,0.12
i,3,0.12
pRE,4,0.16
Rso,4,0.16
Ze,4,0.16
Rnu,1,0.04
skyR,2,0.08
ZwE,1,0.04
lEn,1,0.04
RuZ,3,0.12
gER,4,0.16
vi,13,0.51
vRaZ,1,0.04
laS,1,0.04
v2,6,0.23
Rb2,1,0.04
taS,1,0.04
py,5,0.19
mAZ,1,0.04
te~,13,0.51
ste~,6,0.23
RAZ,1,0.04
lme~t,1,0.04
mC,6,0.23
ple~t,3,0.12
lis,5,0.19
pA,1,0.04
vis,2,0.08
kRi,2,0.08
bRi,2,0.08
ka,2,0.08
pREm,2,0.08
tje,3,0.12
pER,5,0.19
zjC,2,0.08
sjC,13,0.51
Ri,25,0.97
flam,7,0.27
gRi,1,0.04
ste,3,0.12
En,5,0.19
AZ,2,0.08
lmAZ,2,0.08
RmEj,6,0.23
nHaZ,4,0.16
Rwa,12,0.47
naZ,4,0.16
bwa,5,0.19
buS,1,0.04
Re,17,0.66
tik,11,0.43
e,1,0.04
miR,4,0.16
dmiR,5,0.19
ve~,5,0.19
pi,3,0.12
Rpi,1,0.04
lpit,2,0.08
Rit,4,0.16
did,1,0.04
pj2,2,0.08
sid,1,0.04
fRAs,3,0.12
sAs,3,0.12
pte,10,0.39
Et,6,0.23
ZjC,1,0.04
fEt,6,0.23
fER,5,0.19
stik,6,0.23
lmiR,1,0.04
fiR,2,0.08
klER,2,0.08
tif,3,0.12
paZ,3,0.12
plAS,1,0.04
t2,1,0.04
dt2,1,0.04
v2l,1,0.04
g9l,1,0.04
nHe,1,0.04
He,1,0.04
le,8,0.31
lCd,2,0.08
fCd,6,0.23
Rj9R,1,0.04
gRe~,1,0.04
R2z,11,0.43
Re~,8,0.31
lwEt,1,0.04
mHEt,1,0.04
bOl,1,0.04
Rte,3,0.12
pCd,1,0.04
fA,6,0.23
ni,10,0.39
ny,27,1.05
ty,3,0.12
Sin,6,0.23
R2,7,0.27
myn,2,0.08
bRyn,1,0.04
RsyR,2,0.08
vwaR,7,0.27
am,9,0.35
g9R,3,0.12
Rdiv,1,0.04
div,1,0.04
fRC,4,0.16
RAt,1,0.04
sjAt,1,0.04
fl9R,10,0.39
l9R,13,0.51
REs,14,0.54
sEs,2,0.08
RmyR,2,0.08
RdyR,4,0.16
skyl,2,0.08
fon,1,0.04
Za,1,0.04
Zon,2,0.08
Rsa,1,0.04
ba,1,0.04
Rba,1,0.04
zAZ,4,0.16
RvER,1,0.04
tRAZ,7,0.27
um,1,0.04
Re~t,1,0.04
pjOm,1,0.04
nEl,4,0.16
vwa,1,0.04
dEl,3,0.12
njaZ,1,0.04
aZ,1,0.04
tmik,2,0.08
bRe,1,0.04
lgER,1,0.04
Raj,5,0.19
tRaj,2,0.08
maj,2,0.08
bit,2,0.08
dj2,7,0.27
kfER,1,0.04
RaZ,4,0.16
vaZ,3,0.12
de,2,0.08
to,4,0.16
REv,7,0.27
gREv,3,0.12
fi,1,0.04
Rtik,1,0.04
f2,2,0.08
tH2,7,0.27
ltik,1,0.04
d9R,12,0.47
diR,1,0.04
giR,1,0.04
RdAt,1,0.04
ti,8,0.31
dAt,1,0.04
zAt,1,0.04
psAt,1,0.04
jC,4,0.16
tyR,19,0.74
lam,3,0.12
maZ,4,0.16
m9R,2,0.08
kRE,2,0.08
bim,5,0.19
tim,1,0.04
C,1,0.04
RC,2,0.08
gaZ,1,0.04
blA,6,0.23
lviR,1,0.04
RiR,5,0.19
RmA,7,0.27
pjER,2,0.08
nwaR,17,0.66
RZi,5,0.19
gRA,1,0.04
o,5,0.19
fo,2,0.08
zwaR,2,0.08
la,4,0.16
ZAs,1,0.04
lAs,8,0.31
lHi,4,0.16
Rdy,3,0.12
Ry,3,0.12
ze,7,0.27
tuR,2,0.08
pRi,3,0.12
nj,6,0.23
tyd,9,0.35
bEl,4,0.16
njEt,2,0.08
Rje~,2,0.08
mje~,1,0.04
Oz,2,0.08
tal,15,0.58
al,1,0.04
tA,5,0.19
lAZ,2,0.08
sAt,3,0.12
2,1,0.04
At,1,0.04
Z2,7,0.27
lse~,2,0.08
nOR,1,0.04
R9R,1,0.04
dtEz,1,0.04
lEz,1,0.04
poz,2,0.08
Rfoz,1,0.04
mal,3,0.12
miz,1,0.04
siz,1,0.04
piR,3,0.12
tin,4,0.16
l2,6,0.23
me~s,2,0.08
pRe~s,1,0.04
staz,3,0.12
gaz,3,0.12
ROn,2,0.08
dOn,3,0.12
n9R,1,0.04
fal,1,0.04
Rn2R,1,0.04
mas,3,0.12
fas,2,0.08
fl9v,4,0.16
ky,3,0.12
tlEt,1,0.04
plOR,1,0.04
nu,5,0.19
ROR,3,0.12
Sje~,1,0.04
mOk,1,0.04
lOk,1,0.04
REn,5,0.19
Rin,2,0.08
nje,5,0.19
lyR,4,0.16
SwaR,2,0.08
fRik,2,0.08
Rfe~,3,0.12
lEv,3,0.12
mwaR,6,0.23
vREs,2,0.08
Rme,2,0.08
dy,5,0.19
dRC,2,0.08
niR,1,0.04
fHi,3,0.12
lj2,2,0.08
RHEl,1,0.04
blik,2,0.08
kCd,4,0.16
van,3,0.12
fwa,3,0.12
Rtin,1,0.04
Rpin,1,0.04
kRe,2,0.08
dAs,2,0.08
RAs,3,0.12
lik,4,0.16
til,3,0.12
Ril,2,0.08
bRik,2,0.08
tRid,1,0.04
kid,1,0.04
vag,2,0.08
kjEt,3,0.12
gRas,6,0.23
ZEm,1,0.04
be,3,0.12
lER,6,0.23
Rpas,1,0.04
glas,1,0.04
mo,2,0.08
ZHiv,1,0.04
pRiv,1,0.04
tiv,1,0.04
viv,1,0.04
bR2z,1,0.04
kR2z,2,0.08
RfEt,2,0.08
zCs,1,0.04
RCs,1,0.04
ple,1,0.04
mEn,1,0.04
RbC,2,0.08
RRoz,1,0.04
bC,3,0.12
Soz,3,0.12
du,2,0.08
sCd,1,0.04
tHi,1,0.04
lA,9,0.35
nC,4,0.16
RtEn,1,0.04
tEn,3,0.12
pC,1,0.04
dAZ,3,0.12
Rj2z,2,0.08
Rtus,1,0.04
vu,3,0.12
ptil,3,0.12
sCZ,4,0.16
sil,3,0.12
tRi,4,0.16
lwAZ,2,0.08
RdOn,2,0.08
klav,1,0.04
gwas,2,0.08
fjEl,1,0.04
pEl,2,0.08
faR,3,0.12
naR,1,0.04
Rid,3,0.12
n9v,1,0.04
zaR,3,0.12
pam,2,0.08
sOt,1,0.04
Ot,1,0.04
Z9R,2,0.08
vej,2,0.08
REj,5,0.19
tiZ,1,0.04
RtiZ,3,0.12
fliZ,2,0.08
fiZ,2,0.08
stiZ,1,0.04
RjA,3,0.12
vje~,2,0.08
dtOR,1,0.04
ltiZ,1,0.04
sHER,1,0.04
tRal,1,0.04
kRal,1,0.04
buZ,3,0.12
kul,1,0.04
diZ,1,0.04
sjEl,6,0.23
tOR,2,0.08
Sas,1,0.04
myl,1,0.04
zan,3,0.12
sE,2,0.08
flER,2,0.08
spER,2,0.08
ne,14,0.54
dit,2,0.08
Rmit,3,0.12
nal,6,0.23
Rnal,3,0.12
y,1,0.04
bEt,2,0.08
kuR,2,0.08
Rse,3,0.12
tCb,3,0.12
suR,1,0.04
kCb,1,0.04
SA,4,0.16
psC,1,0.04
tRe~t,1,0.04
pRe~t,1,0.04
ZA,1,0.04
RZA,1,0.04
RnaZ,1,0.04
RjER,3,0.12
jER,1,0.04
buR,2,0.08
ZuR,4,0.16
pRe,1,0.04
tREt,1,0.04
klat,1,0.04
b9R,2,0.08
t2z,1,0.04
d2R,2,0.08
Rs2z,1,0.04
gat,4,0.16
Zwa,2,0.08
nwa,1,0.04
kE,1,0.04
lin,3,0.12
skE,1,0.04
Rtif,2,0.08
vit,2,0.08
kRit,1,0.04
lAS,1,0.04
blAS,4,0.16
ziv,1,0.04
Rtiv,1,0.04
mEj,3,0.12
pal,2,0.08
stER,5,0.19
Zik,3,0.12
fle,3,0.12
val,2,0.08
ptik,2,0.08
Rgo,1,0.04
zOs,2,0.08
Rbo,2,0.08
j2,3,0.12
RtyR,1,0.04
id,1,0.04
ktim,5,0.19
RkOR,1,0.04
fym,1,0.04
bRym,1,0.04
RtAt,1,0.04
Zj2,1,0.04
tAt,1,0.04
bli,2,0.08
bR2,3,0.12
m2,4,0.16
pik,2,0.08
mAs,3,0.12
tAs,1,0.04
Rvo,5,0.19
lyn,1,0.04
Rne,1,0.04
kuS,1,0.04
vj2,3,0.12
RbEt,1,0.04
kC,1,0.04
lkC,1,0.04
lad,2,0.08
vjEn,2,0.08
mid,2,0.08
Ro,3,0.12
dRal,1,0.04
di,7,0.27
twal,5,0.19
lyt,1,0.04
Rd9R,1,0.04
byt,2,0.08
bRyt,1,0.04
spyt,1,0.04
flyt,1,0.04
nyt,2,0.08
yt,1,0.04
Syt,1,0.04
gCd,1,0.04
lAg,1,0.04
gAg,1,0.04
lOR,3,0.12
lwa,2,0.08
taR,1,0.04
glog,1,0.04
lOg,1,0.04
vA,11,0.43
sfER,2,0.08
ksyR,1,0.04
ble,2,0.08
Rim,1,0.04
mjEl,2,0.08
kij,1,0.04
fij,5,0.19
vil,8,0.31
v9v,1,0.04
Rtil,1,0.04
zEl,2,0.08
RtEl,2,0.08
Rak,1,0.04
fy,1,0.04
flak,1,0.04
kaZ,2,0.08
sEk,1,0.04
bEk,1,0.04
li,1,0.04
blOk,2,0.08
ROk,3,0.12
pRim,1,0.04
fu,3,0.12
blim,3,0.12
Rys,1,0.04
Rbe,1,0.04
nus,1,0.04
gaR,1,0.04
jaR,2,0.08
tRuv,1,0.04
gzil,1,0.04
t9R,5,0.19
kRy,1,0.04
spas,1,0.04
mon,1,0.04
pe,2,0.08
da,1,0.04
min,2,0.08
pat,1,0.04
tRA,1,0.04
vat,1,0.04
ljE,1,0.04
tjEm,1,0.04
mEm,1,0.04
bOR,1,0.04
sy,3,0.12
bys,2,0.08
vRij,1,0.04
vjEj,3,0.12
bil,1,0.04
blo,1,0.04
Zil,1,0.04
ta,2,0.08
bA,2,0.08
Rje,2,0.08
se~t,1,0.04
myR,6,0.23
Rvej,1,0.04
Rte~,1,0.04
nER,1,0.04
kyl,5,0.19
byl,1,0.04
Rti,2,0.08
RlE,2,0.08
tH2z,4,0.16
gA,4,0.16
vE,1,0.04
lkov,1,0.04
fov,1,0.04
laZ,2,0.08
fAZ,2,0.08
Rsi,2,0.08
si,6,0.23
kEs,1,0.04
gRis,1,0.04
nis,1,0.04
dte~,1,0.04
dA,5,0.19
lH9R,1,0.04
vjA,1,0.04
nas,1,0.04
vROm,1,0.04
A,2,0.08
sOm,1,0.04
ltyR,1,0.04
pe~s,1,0.04
fe,2,0.08
ziR,4,0.16
Rkas,1,0.04
fot,1,0.04
bik,1,0.04
kot,1,0.04
spik,1,0.04
guZ,1,0.04
ske,2,0.08
gAZ,1,0.04
lAt,5,0.19
tRE,3,0.12
fRES,1,0.04
pES,1,0.04
kil,1,0.04
nys,1,0.04
luz,2,0.08
dRa,1,0.04
mij,2,0.08
pj2z,1,0.04
bu,3,0.12
lu,2,0.08
Zu,1,0.04
d2,1,0.04
zA,5,0.19
sHi,1,0.04
fis,2,0.08
spis,1,0.04
go,1,0.04
mAS,2,0.08
zi,2,0.08
RbER,1,0.04
tEt,4,0.16
ZE,2,0.08
RlaZ,1,0.04
po,6,0.23
vOl,1,0.04
ktOl,1,0.04
Zw9R,1,0.04
laR,1,0.04
sER,1,0.04
ZAb,1,0.04
flAb,1,0.04
gAt,2,0.08
wad,1,0.04
pyR,2,0.08
gREk,3,0.12
stEk,1,0.04
skad,2,0.08
tiR,4,0.16
ko,1,0.04
So,1,0.04
RtiR,3,0.12
ZyZ,2,0.08
lyZ,1,0.04
kat,2,0.08
syR,2,0.08
bOn,2,0.08
SEt,1,0.04
blCd,1,0.04
mAt,3,0.12
RmAt,2,0.08
pEt,2,0.08
RdA,1,0.04
fRiR,1,0.04
tRiR,1,0.04
njER,1,0.04
vwal,3,0.12
paR,3,0.12
twa,2,0.08
nid,1,0.04
vR2,1,0.04
fAs,1,0.04
lav,1,0.04
je~,1,0.04
sje~,1,0.04
pt2R,1,0.04
ple~,2,0.08
nij,2,0.08
s9R,5,0.19
flo,1,0.04
glo,2,0.08
klo,1,0.04
lo,3,0.12
fin,1,0.04
gHij,1,0.04
boS,1,0.04
foS,1,0.04
kte,1,0.04
ltan,1,0.04
tan,2,0.08
dC,1,0.04
RdC,1,0.04
twaR,1,0.04
njaR,1,0.04
tR2,1,0.04
tj2,1,0.04
styR,1,0.04
dRol,1,0.04
Rol,1,0.04
psEn,1,0.04
fREz,1,0.04
bREz,1,0.04
sjAs,3,0.12
RzEl,1,0.04
ply,1,0.04
RdaZ,1,0.04
RsC,1,0.04
tom,1,0.04
ROm,1,0.04
mje,1,0.04
ZER,2,0.08
bRAS,1,0.04
dRe,1,0.04
kHis,1,0.04
tRe,1,0.04
pEd,1,0.04
dE,1,0.04
tE,1,0.04
zEd,1,0.04
mjEn,1,0.04
sjEn,1,0.04
RmE,1,0.04
pE,4,0.16
gu,3,0.12
tEm,2,0.08
dut,1,0.04
kut,1,0.04
zje,1,0.04
liv,2,0.08
Rviv,1,0.04
pin,1,0.04
mEs,1,0.04
jAs,1,0.04
bRa,1,0.04
sfE,1,0.04
fE,1,0.04
vj2z,1,0.04
sj2z,3,0.12
no,1,0.04
pis,1,0.04
pwaR,1,0.04
dOl,1,0.04
tol,1,0.04
stAp,1,0.04
lAp,1,0.04
ze~,2,0.08
bul,1,0.04
Rul,1,0.04
plas,1,0.04
Rtu,1,0.04
l2j,1,0.04
k9j,1,0.04
Rik,2,0.08
pu,1,0.04
zaZ,1,0.04
gRE,1,0.04
vas,1,0.04
swe~,1,0.04
Ras,1,0.04
lwe~,1,0.04
tRCp,1,0.04
n2,2,0.08
glOt,1,0.04
spOt,1,0.04
dis,1,0.04
jaZ,1,0.04
AS,1,0.04
nan,1,0.04
Rlat,1,0.04
nat,1,0.04
e~,1,0.04
gREl,1,0.04
fRA,1,0.04
flA,1,0.04
fRE,1,0.04
plE,1,0.04
tRu,2,0.08
lpas,1,0.04
blaz,1,0.04
lEm,1,0.04
RZik,1,0.04
Rvil,1,0.04
RREv,1,0.04
tREv,1,0.04
tu,1,0.04
RtER,1,0.04
