Syllabe,Occurrences,Pourcentage
Z2,10,0.04
SEn,45,0.18
pjER,90,0.36
zj2,51,0.21
nwa,9,0.04
mjER,90,0.36
C,16,0.06
m9R,48,0.19
ZEs,9,0.04
sj2,127,0.51
kam,1,0.0
vin,24,0.1
zC,168,0.68
mo,39,0.16
sEv,9,0.04
Zil,8,0.03
pyR,22,0.09
nam,13,0.05
laZ,9,0.04
SEs,6,0.02
me~,169,0.68
Rte,90,0.36
fwa,58,0.23
mA,376,1.52
lAp,12,0.05
fC,148,0.6
d2,32,0.13
tyd,76,0.31
Se,101,0.41
vwal,59,0.24
Ras,21,0.09
fEt,83,0.34
fA,84,0.34
v9R,12,0.05
sC,61,0.25
tyR,100,0.4
k9R,50,0.2
my,6,0.02
tHER,10,0.04
pRi,71,0.29
kRe,48,0.19
kREt,8,0.03
mOR,85,0.34
kjE,10,0.04
fam,95,0.38
Rfe~,18,0.07
mAt,4,0.02
vA,203,0.82
lsEn,4,0.02
du,41,0.17
tRam,14,0.06
Soz,66,0.27
se,209,0.85
ni,169,0.68
swaR,59,0.24
pa,96,0.39
zjC,29,0.12
tRaj,12,0.05
tuR,41,0.17
Rse,13,0.05
kut,14,0.06
pli,43,0.17
f2,33,0.13
Ri,103,0.42
vwan,2,0.01
mHE,15,0.06
lyn,9,0.04
dmiR,4,0.02
bwa,83,0.34
dit,14,0.06
gliz,8,0.03
dtEv,3,0.01
lo,26,0.11
tam,5,0.02
lam,43,0.17
p2,24,0.1
zyR,57,0.23
vi,116,0.47
tER,186,0.75
vwa,103,0.42
Riv,18,0.07
SA,81,0.33
ZEt,15,0.06
tA,125,0.51
blEs,6,0.02
m2t,5,0.02
Ze,50,0.2
t9R,25,0.1
Re,155,0.63
bOt,2,0.01
bRij,12,0.05
R9R,57,0.23
nHaZ,10,0.04
vwaR,81,0.33
zo,54,0.22
lCb,20,0.08
zOR,2,0.01
lwAZ,3,0.01
SER,26,0.11
nEl,59,0.24
nuj,2,0.01
bRym,17,0.07
sjEl,57,0.23
fCd,68,0.28
lCd,19,0.08
lHi,73,0.3
plE,22,0.09
sA,146,0.59
fjER,8,0.03
At,19,0.08
Rdo,3,0.01
Rbe,9,0.04
Roz,68,0.28
lOm,55,0.22
RAd,3,0.01
skyR,57,0.23
