Syllabe,Occurrences,Pourcentage
gaR,38,0.25
vi,178,1.18
dOn,11,0.07
te,352,2.33
vaZ,54,0.36
bwa,36,0.24
ZER,17,0.11
lAs,77,0.51
zyR,45,0.3
fHi,21,0.14
zER,76,0.5
Rmi,20,0.13
vwal,29,0.19
te~,40,0.27
RA,57,0.38
muR,77,0.51
mA,179,1.19
pREs,6,0.04
REj,27,0.18
tOn,21,0.14
pA,7,0.05
twa,62,0.41
kOR,114,0.76
RtEl,47,0.31
spas,22,0.15
pE,21,0.14
le,135,0.9
k9j,11,0.07
lwa,31,0.21
pa,158,1.05
tER,164,1.09
kRE,8,0.05
RdyR,20,0.13
kuR,33,0.22
zj2,79,0.52
me,104,0.69
ni,114,0.76
jaZ,17,0.11
paR,30,0.2
zEl,22,0.15
pCd,4,0.03
lda,2,0.01
fER,12,0.08
Rval,8,0.05
vA,60,0.4
se,295,1.96
lme,1,0.01
gRe,9,0.06
ply,17,0.11
mo,33,0.22
Rul,10,0.07
li,67,0.44
si,23,0.15
maZ,61,0.4
Se,88,0.58
mit,6,0.04
vo,16,0.11
blAt,1,0.01
sjAs,5,0.03
fil,17,0.11
kRi,25,0.17
vid,33,0.22
tas,8,0.05
liR,54,0.36
Z9R,6,0.04
sAt,8,0.05
lEn,20,0.13
sin,18,0.12
RAt,19,0.13
mjER,79,0.52
pl9R,41,0.27
zo,45,0.3
ROl,23,0.15
nwi,14,0.09
lCZ,3,0.02
pis,17,0.11
lEt,1,0.01
lEl,1,0.01
tRas,35,0.23
RsER,1,0.01
kt9R,7,0.05
plas,25,0.17
me~,180,1.19
Rpa,4,0.03
du,20,0.13
lj2,56,0.37
naZ,8,0.05
ROR,68,0.45
nHi,58,0.38
biz,1,0.01
ksA,11,0.07
vu,19,0.13
sjC,57,0.38
vEl,19,0.13
ktim,15,0.1
tA,69,0.46
RtEt,3,0.02
ve,40,0.27
zi,16,0.11
nad,3,0.02
ny,67,0.44
tRam,19,0.13
mE,26,0.17
jC,40,0.27
flA,10,0.07
bim,41,0.27
vwa,87,0.58
njER,15,0.1
Ziv,1,0.01
RniS,1,0.01
sEl,26,0.17
klOR,31,0.21
s9l,9,0.06
RjER,33,0.22
tyd,51,0.34
Rme~,6,0.04
mjEl,12,0.08
sjEl,16,0.11
Rsi,18,0.12
pjER,64,0.42
Riv,23,0.15
zaZ,25,0.17
tRaZ,5,0.03
dj2,111,0.74
pli,35,0.23
nam,5,0.03
g9R,11,0.07
lAZ,10,0.07
vje~,3,0.02
piR,44,0.29
ne,114,0.76
RAs,57,0.38
mC,3,0.02
sC,19,0.13
mEs,3,0.02
zOR,8,0.05
flo,26,0.17
mOR,62,0.41
