Syllabe,Occurrences,Pourcentage
vu,13,0.19
du,11,0.16
RE,18,0.27
mA,114,1.68
bwaR,4,0.06
ZyR,3,0.04
pid,11,0.16
te,192,2.83
stik,2,0.03
nje,15,0.22
tC,9,0.13
Rne,8,0.12
pa,74,1.09
Rmi,19,0.28
Re,83,1.23
lEv,5,0.07
A,4,0.06
tRe,6,0.09
lje,16,0.24
bal,3,0.04
ze,42,0.62
je,44,0.65
fo,3,0.04
ve,20,0.3
niR,28,0.41
vA,24,0.35
vER,22,0.32
ply,8,0.12
Ry,7,0.1
vil,9,0.13
m@t,1,0.01
se,149,2.2
RtiR,7,0.1
nam,2,0.03
glo,5,0.07
RaZ,9,0.13
Z9R,6,0.09
Ri,55,0.81
tjER,16,0.24
tuR,10,0.15
sOR,6,0.09
pRE,8,0.12
twa,15,0.22
bwa,6,0.09
vi,85,1.25
mEm,18,0.27
plEn,6,0.09
lHi,30,0.44
Rwa,22,0.32
tEt,12,0.18
buS,9,0.13
tER,76,1.12
fE,11,0.16
Rad,4,0.06
S9R,5,0.07
se~t,12,0.18
ple~t,2,0.03
RtER,11,0.16
bje~,16,0.24
RdA,3,0.04
RCd,1,0.01
mE,10,0.15
v2,21,0.31
RiR,53,0.78
si,54,0.8
me,60,0.89
ziR,13,0.19
fRAs,10,0.15
ne,85,1.25
fER,32,0.47
jER,10,0.15
zEt,3,0.04
bit,3,0.04
pEn,18,0.27
vaZ,5,0.07
kA,2,0.03
sA,38,0.56
tRam,2,0.03
RHi,4,0.06
te~,25,0.37
mER,39,0.58
Em,11,0.16
pl9R,11,0.16
kjEt,2,0.03
iv,1,0.01
ste~,7,0.1
piR,8,0.12
fiR,3,0.04
faR,2,0.03
Rte,27,0.4
Om,7,0.1
ky,6,0.09
dam,7,0.1
sAs,11,0.16
me~,94,1.39
po,10,0.15
dAs,12,0.18
ba,33,0.49
ste,7,0.1
gaR,5,0.07
SC,1,0.01
vOl,6,0.09
ni,58,0.86
glA,3,0.04
ZuR,25,0.37
nHi,37,0.55
nwa,1,0.01
Rdi,8,0.12
kR2z,1,0.01
le,42,0.62
tRaZ,4,0.06
dy,23,0.34
mEn,28,0.41
Soz,9,0.13
saZ,7,0.1
liR,17,0.25
g9l,1,0.01
s9l,4,0.06
tjE,1,0.01
RpA,3,0.04
pA,1,0.01
vEl,6,0.09
lwa,5,0.07
swa,4,0.06
njC,2,0.03
Ze,24,0.35
l9R,35,0.52
tHER,1,0.01
pjER,20,0.3
dRE,2,0.03
zi,18,0.27
lE,21,0.31
gRe,6,0.09
bRi,2,0.03
doR,2,0.03
kOR,16,0.24
mi,44,0.65
mOl,2,0.03
njOl,4,0.06
ZA,4,0.06
RZA,3,0.04
py,2,0.03
ny,53,0.78
nj,21,0.31
Rle,4,0.06
tEs,5,0.07
blA,12,0.18
lA,16,0.24
El,12,0.18
bEl,25,0.37
f2,11,0.16
Rid,3,0.04
vid,13,0.19
Rte~,6,0.09
REs,14,0.21
tREs,28,0.41
pe,21,0.31
swaR,10,0.15
vwaR,20,0.3
R2z,4,0.06
to,16,0.24
Rit,3,0.04
vit,6,0.09
pje,9,0.13
Roz,7,0.1
kloz,4,0.06
fe,5,0.07
d9R,9,0.13
nad,6,0.09
lad,4,0.06
REl,8,0.12
blCd,3,0.04
fCd,14,0.21
no,5,0.07
jA,6,0.09
gER,10,0.15
muR,30,0.44
skuR,2,0.03
twaR,16,0.24
de,13,0.19
staS,2,0.03
naS,1,0.01
gRiz,2,0.03
gliz,3,0.04
kwe~,3,0.04
pwe~,2,0.03
mwa,24,0.35
i,4,0.06
vij,2,0.03
Rtyn,4,0.06
lkyn,1,0.01
zj2,28,0.41
ROl,8,0.12
fOl,3,0.04
nwaR,14,0.21
dus,2,0.03
Rsil,4,0.06
bRyn,2,0.03
yn,2,0.03
fwe~,1,0.01
do,7,0.1
Rdo,4,0.06
dA,16,0.24
pRi,16,0.24
Sje~,4,0.06
fas,8,0.12
zad,2,0.03
tiR,8,0.12
gAs,4,0.06
fjAs,1,0.01
tRas,2,0.03
pRC,1,0.01
dC,3,0.04
En,6,0.09
REn,5,0.07
lj2,8,0.12
dj2,41,0.61
fam,39,0.58
am,21,0.31
fwa,15,0.22
mEs,1,0.01
njaR,1,0.01
kaR,2,0.03
lam,15,0.22
m9R,7,0.1
kOm,4,0.06
Se,36,0.53
tAd,1,0.01
paR,6,0.09
sid,3,0.04
tiv,3,0.04
Riv,8,0.12
myR,3,0.04
syR,8,0.12
tik,16,0.24
Raj,5,0.07
Rdy,13,0.19
RdOn,5,0.07
bOn,4,0.06
ku,3,0.04
RsyR,1,0.01
kRy,2,0.03
li,41,0.61
fRiR,16,0.24
Rje~,19,0.28
gal,5,0.07
dal,4,0.06
tRAZ,4,0.06
mAZ,1,0.01
t2,5,0.07
R2,12,0.18
tA,26,0.38
va,4,0.06
bRa,22,0.32
tje,36,0.53
Zwa,7,0.1
lo,13,0.19
ad,2,0.03
tRi,14,0.21
vy,9,0.13
sCZ,7,0.1
zC,23,0.34
Ra,18,0.27
bRAS,1,0.01
vRE,3,0.04
p9R,2,0.03
kut,1,0.01
REv,7,0.1
SEv,2,0.03
bRiz,1,0.01
biz,1,0.01
pte,5,0.07
lkC,1,0.01
RmiR,4,0.06
lyn,4,0.06
stER,8,0.12
tom,1,0.01
dom,2,0.03
Rsi,7,0.1
RAs,35,0.52
RAp,1,0.01
lAp,1,0.01
gRas,3,0.04
pas,3,0.04
Rme,14,0.21
Ed,3,0.04
lEd,1,0.01
dji,8,0.12
ke,5,0.07
Rke,2,0.03
poz,5,0.07
AZ,4,0.06
mni,9,0.13
RdAt,3,0.04
dAt,2,0.03
kuS,6,0.09
m2,3,0.04
sj2,32,0.47
Rwas,1,0.01
gwas,1,0.01
kRi,10,0.15
skyR,6,0.09
pyR,9,0.13
di,26,0.38
