Syllabe,Occurrences,Pourcentage
zin,3,0.12
mOR,13,0.54
laS,1,0.04
v2,6,0.25
b2,1,0.04
taS,1,0.04
te,94,3.87
pa,10,0.41
py,5,0.21
mAZ,3,0.12
te~,21,0.86
RAZ,8,0.33
me~t,1,0.04
mC,6,0.25
le~t,3,0.12
se~,11,0.45
lis,5,0.21
pA,1,0.04
vis,2,0.08
mCd,13,0.54
Ri,38,1.57
tER,23,0.95
ka,2,0.08
RER,4,0.16
REm,2,0.08
je,32,1.32
fEm,3,0.12
pER,7,0.29
jC,20,0.82
mER,30,1.24
fam,10,0.41
lam,10,0.41
En,5,0.21
nEl,12,0.49
AZ,2,0.08
lEj,8,0.33
mEj,9,0.37
HaZ,4,0.16
wa,31,1.28
naZ,5,0.21
buS,1,0.04
Re,23,0.95
tik,21,0.86
e,1,0.04
miR,10,0.41
ve~,5,0.21
pi,4,0.16
me~,8,0.33
pit,2,0.08
Rit,5,0.21
de~,1,0.04
did,1,0.04
j2,45,1.85
sid,1,0.04
RAs,6,0.25
sAs,3,0.12
Et,6,0.25
fEt,8,0.33
nik,3,0.12
fER,8,0.33
vER,14,0.58
fiR,2,0.08
lER,10,0.41
jER,18,0.74
tif,5,0.21
paZ,3,0.12
lAS,6,0.25
t2,2,0.08
v2l,1,0.04
lE,10,0.41
g9l,1,0.04
He,2,0.08
Se,11,0.45
le,14,0.58
lCd,3,0.12
fCd,6,0.25
j9R,1,0.04
k9R,10,0.41
pid,5,0.21
Re~,9,0.37
R2z,14,0.58
wEt,1,0.04
fOR,9,0.37
HEt,1,0.04
bOl,1,0.04
pCd,1,0.04
fA,6,0.25
ni,10,0.41
sA,18,0.74
ny,27,1.11
ty,4,0.16
Sin,6,0.25
R2,13,0.54
myn,2,0.08
Ryn,1,0.04
syR,5,0.21
waR,58,2.39
am,9,0.37
mA,30,1.24
g9R,3,0.12
div,2,0.08
fC,6,0.25
RC,8,0.33
RAt,1,0.04
jAt,1,0.04
l9R,30,1.24
REs,24,0.99
me,19,0.78
sEs,2,0.08
i,2,0.08
myR,8,0.33
dyR,4,0.16
kyl,9,0.37
fon,1,0.04
Za,1,0.04
Zon,2,0.08
sa,1,0.04
ba,2,0.08
zAZ,4,0.16
um,1,0.04
Re~t,3,0.12
jOm,1,0.04
dEl,3,0.12
jaZ,2,0.08
aZ,1,0.04
mik,2,0.08
sC,8,0.33
gER,4,0.16
Raj,7,0.29
maj,2,0.08
bit,2,0.08
zER,18,0.74
RaZ,4,0.16
vaZ,3,0.12
de,2,0.08
to,4,0.16
bo,20,0.82
REv,12,0.49
vi,12,0.49
fi,1,0.04
f2,2,0.08
H2,7,0.29
zik,4,0.16
d9R,13,0.54
diR,1,0.04
giR,1,0.04
dAt,2,0.08
ti,10,0.41
zAt,1,0.04
sAt,4,0.16
tyR,22,0.91
maZ,4,0.16
m9R,2,0.08
RE,10,0.41
bim,5,0.21
tim,6,0.25
