Syllabe,Occurrences,Pourcentage
mCd,68,0.47
fCd,29,0.2
Hi,191,1.32
jAt,3,0.02
to,26,0.18
pAt,11,0.08
zo,40,0.28
dy,114,0.79
te,427,2.95
kil,5,0.03
pOR,34,0.23
il,1,0.01
bOR,35,0.24
tiR,45,0.31
tuR,50,0.35
liR,50,0.35
mEj,25,0.17
zER,70,0.48
piR,79,0.55
vi,179,1.24
lin,49,0.34
me,123,0.85
j2,359,2.48
taR,7,0.05
pas,30,0.21
S9R,9,0.06
fas,24,0.17
Riv,23,0.16
mER,91,0.63
tiv,25,0.17
vaZ,50,0.35
ko,8,0.06
laZ,28,0.19
lo,57,0.39
mAt,20,0.14
nC,30,0.21
lC,22,0.15
tEm,21,0.15
mEm,89,0.62
dOR,48,0.33
le,143,0.99
H2,1,0.01
v2,14,0.1
REn,14,0.1
me~,177,1.22
zEn,1,0.01
te~,56,0.39
pe,39,0.27
lam,83,0.57
am,64,0.44
mOR,62,0.43
fiR,12,0.08
ROR,66,0.46
Re,126,0.87
vA,58,0.4
jA,11,0.08
ze,59,0.41
dEn,2,0.01
e~,4,0.03
bCd,7,0.05
RiR,85,0.59
bos,1,0.01
tim,19,0.13
Rim,14,0.1
wa,495,3.42
tEt,30,0.21
fEt,19,0.13
ji,20,0.14
waR,204,1.41
muR,74,0.51
ZuR,158,1.09
pis,15,0.1
mo,33,0.23
bo,62,0.43
fis,32,0.22
sEs,7,0.05
nys,2,0.01
REs,48,0.33
Es,1,0.01
sy,11,0.08
ne,121,0.84
ton,1,0.01
gon,1,0.01
las,45,0.31
m9R,44,0.3
pa,153,1.06
Z2,7,0.05
jER,272,1.88
lA,33,0.23
n9R,34,0.23
mEs,3,0.02
nEs,11,0.08
s9R,10,0.07
g9R,10,0.07
Se,94,0.65
vER,81,0.56
ni,121,0.84
fER,18,0.12
SER,16,0.11
g2j,6,0.04
s9j,12,0.08
puz,1,0.01
lEs,13,0.09
ba,41,0.28
Ri,162,1.12
lon,2,0.01
tER,233,1.61
RaZ,77,0.53
sOR,37,0.26
lis,56,0.39
tis,20,0.14
bim,38,0.26
Ra,24,0.17
lOR,55,0.38
kuR,36,0.25
kOR,111,0.77
sAs,55,0.38
fAs,20,0.14
jEl,31,0.21
tEl,86,0.59
lEn,41,0.28
l9R,135,0.93
lim,25,0.17
nim,13,0.09
lEv,34,0.23
REv,26,0.18
ZER,17,0.12
saZ,13,0.09
lCd,24,0.17
nOR,23,0.16
dAt,4,0.03
kul,7,0.05
ful,13,0.09
vOl,13,0.09
vid,29,0.2
Rid,17,0.12
tEn,12,0.08
li,120,0.83
Zu,18,0.12
Su,1,0.01
naZ,11,0.08
nEl,44,0.3
mEn,26,0.18
mEl,9,0.06
je~,85,0.59
lAs,76,0.53
se~,24,0.17
se,304,2.1
ROl,22,0.15
ziR,18,0.12
RAs,66,0.46
lu,15,0.1
HEt,6,0.04
ZEt,3,0.02
daR,2,0.01
Rav,2,0.01
lav,2,0.01
nCs,7,0.05
la,19,0.13
Ras,59,0.41
zyR,43,0.3
myR,37,0.26
k9j,23,0.16
dOn,15,0.1
jEt,1,0.01
HaZ,47,0.32
kCd,17,0.12
zCd,11,0.08
pid,28,0.19
SiR,15,0.1
RC,23,0.16
dEm,4,0.03
sC,16,0.11
miR,18,0.12
mi,57,0.39
gid,7,0.05
tEs,10,0.07
je,143,0.99
En,4,0.03
SEn,21,0.15
RCd,13,0.09
pEt,26,0.18
das,4,0.03
Rin,14,0.1
REm,40,0.28
sim,28,0.19
zaZ,24,0.17
maZ,59,0.41
de~,9,0.06
de,42,0.29
sE,18,0.12
SaR,2,0.01
aZ,23,0.16
gER,7,0.05
lER,42,0.29
His,1,0.01
ve,39,0.27
RuS,3,0.02
buS,17,0.12
ROn,11,0.08
ly,28,0.19
kyR,31,0.21
zEl,25,0.17
sEl,33,0.23
wal,49,0.34
nOm,13,0.09
gaR,37,0.26
zaR,14,0.1
lEm,31,0.21
mAs,29,0.2
viR,7,0.05
Ru,10,0.07
mA,185,1.28
lOt,9,0.06
nu,51,0.35
tus,10,0.07
d9j,10,0.07
vut,18,0.12
dut,10,0.07
taZ,32,0.22
RA,65,0.45
REt,20,0.14
Et,10,0.07
lE,30,0.21
pE,21,0.15
tAs,40,0.28
As,2,0.01
tal,21,0.15
R2,16,0.11
vin,31,0.21
nj,57,0.39
pER,43,0.3
Roz,16,0.11
pyR,27,0.19
loz,4,0.03
poz,14,0.1
Soz,10,0.07
vEj,39,0.27
R9R,14,0.1
sOn,8,0.06
sA,100,0.69
te~t,4,0.03
le~t,1,0.01
niR,72,0.5
k9R,29,0.2
jE,12,0.08
jiR,7,0.05
ny,65,0.45
Zil,16,0.11
tyR,96,0.66
sym,5,0.03
H9R,11,0.08
lym,7,0.05
fe~,19,0.13
ma,11,0.08
mE,22,0.15
sin,16,0.11
Rut,18,0.12
tA,84,0.58
bEs,4,0.03
mid,4,0.03
lid,1,0.01
si,39,0.27
lyR,1,0.01
jOn,8,0.06
HER,10,0.07
RE,53,0.37
kaZ,2,0.01
lEj,26,0.18
vOR,13,0.09
va,7,0.05
fOR,25,0.17
pEn,13,0.09
bEn,1,0.01
Cd,7,0.05
zC,89,0.62
