Syllabe,Occurrences,Pourcentage
pRi,10,0.2
kOR,12,0.24
djA,1,0.02
Rmin,3,0.06
las,6,0.12
Rdi,2,0.04
zi,7,0.14
ltuS,1,0.02
vwaR,10,0.2
pa,22,0.44
spE,4,0.08
Rj2,8,0.16
tRos,1,0.02
mER,39,0.79
A,14,0.28
RSe,8,0.16
pwa,3,0.06
m2z,3,0.06
RtiR,5,0.1
ROl,1,0.02
spOR,1,0.02
sA,46,0.93
sHER,2,0.04
dwa,2,0.04
li,11,0.22
jA,6,0.12
piR,7,0.14
bER,1,0.02
tuR,7,0.14
sC,15,0.3
jC,11,0.22
lE,15,0.3
kbet,1,0.02
kRim,4,0.08
jaR,6,0.12
zj2,25,0.5
Ri,34,0.68
f2,8,0.16
tOn,10,0.2
zik,6,0.12
sAt,12,0.24
bwaR,2,0.04
bRa,5,0.1
lwaR,11,0.22
bl2,5,0.1
nHi,28,0.56
El,6,0.12
@,2,0.04
te,144,2.9
sfEm,4,0.08
Ze,19,0.38
pid,6,0.12
ny,30,0.6
mOR,27,0.54
pe,6,0.12
tREs,9,0.18
mwa,21,0.42
mjER,8,0.16
ve~,17,0.34
fRER,4,0.08
bo,31,0.62
vEj,4,0.08
tA,28,0.56
vid,13,0.26
lEj,20,0.4
Rfe~,13,0.26
swaR,21,0.42
RE,11,0.22
vER,31,0.62
REl,2,0.04
sOR,3,0.06
ky,8,0.16
me~,23,0.46
bli,6,0.12
moR,3,0.06
je,27,0.54
dOR,1,0.02
zC,27,0.54
nEs,6,0.12
RA,10,0.2
se,29,0.58
stal,3,0.06
zyR,10,0.2
lAs,12,0.24
RmiR,2,0.04
fe~,11,0.22
fwa,13,0.26
RwaR,6,0.12
spas,4,0.08
sd2,1,0.02
ni,19,0.38
Rd2,2,0.04
R2,17,0.34
k9R,12,0.24
Et,8,0.16
tjER,8,0.16
ZuR,24,0.48
SER,10,0.2
d9R,23,0.46
Se,24,0.48
ve,13,0.26
lEt,11,0.22
sjEl,18,0.36
mA,78,1.57
ld9j,1,0.02
Ral,2,0.04
ko,4,0.08
ndis,1,0.02
lje,26,0.52
s2,2,0.04
pl9R,14,0.28
l9R,30,0.6
luv,1,0.02
Rtu,4,0.08
sEv,1,0.02
vEk,9,0.18
sE,9,0.18
baR,3,0.06
ke,5,0.1
fam,12,0.24
le,30,0.6
nik,6,0.12
jz,3,0.06
nEt,4,0.08
fC,20,0.4
mE,16,0.32
fREl,4,0.08
fwaz,3,0.06
Rde~,2,0.04
di,26,0.52
Rty,4,0.08
RdEt,1,0.02
tiR,8,0.16
dji,4,0.08
te~z,3,0.06
plis,2,0.04
me,31,0.62
sH9R,2,0.04
paz,4,0.08
R9R,14,0.28
fOR,12,0.24
pwe~,3,0.06
sj2,18,0.36
gRa,2,0.04
vo,11,0.22
ma,10,0.2
luR,6,0.12
zin,4,0.08
tEj,1,0.02
taj,2,0.04
t2,3,0.06
Zi,4,0.08
muR,15,0.3
p9R,6,0.12
tAt,5,0.1
kad,1,0.02
myR,12,0.24
lwa,4,0.08
lwe~,7,0.14
zER,20,0.4
dHiR,1,0.02
vAt,14,0.28
Rme,5,0.1
mCd,14,0.28
fR2,3,0.06
skEz,1,0.02
so,9,0.18
s2R,2,0.04
gRav,2,0.04
naR,2,0.04
Rmij,1,0.02
se~,16,0.32
la,16,0.32
Roz,7,0.14
tRam,1,0.02
plo,1,0.02
kwa,3,0.06
lC,3,0.06
i,5,0.1
pRE,5,0.1
tHe,1,0.02
Rso,4,0.08
si,21,0.42
ba,11,0.22
Rnu,2,0.04
RpA,3,0.06
blEm,2,0.04
skyR,5,0.1
ZwE,1,0.02
njal,3,0.06
lEn,1,0.02
mAt,13,0.26
RuZ,3,0.06
gER,5,0.1
Rna,1,0.02
vi,22,0.44
tE,11,0.22
vRaZ,1,0.02
tC,6,0.12
ty,10,0.2
laS,3,0.06
v2,9,0.18
Rb2,1,0.02
