Syllabe,Occurrences,Pourcentage
Ze,116,0.24
Z2,15,0.03
fA,196,0.41
SEn,52,0.11
ny,257,0.54
pjER,96,0.2
tuR,110,0.23
zj2,114,0.24
zyR,110,0.23
nwa,13,0.03
myR,86,0.18
C,44,0.09
me~,304,0.64
m9R,69,0.14
pOR,13,0.03
ZEs,15,0.03
mjER,112,0.23
sj2,156,0.33
nA,117,0.24
vin,24,0.05
pyR,56,0.12
zC,256,0.54
pE,35,0.07
mo,96,0.2
fRC,158,0.33
ve~,99,0.21
ful,52,0.11
sEv,12,0.03
fl9R,118,0.25
Zil,9,0.02
jC,171,0.36
mCd,143,0.3
nam,22,0.05
tA,361,0.75
laZ,11,0.02
blA,84,0.18
SEs,7,0.01
la,332,0.69
RSe,61,0.13
nHi,305,0.64
lob,23,0.05
tRam,21,0.04
Rte,177,0.37
vwa,210,0.44
fwa,157,0.33
nwaR,214,0.45
mA,736,1.54
Rso,33,0.07
fC,323,0.68
ot,29,0.06
sHi,58,0.12
tyd,83,0.17
Se,220,0.46
liR,44,0.09
te,850,1.78
vwal,56,0.12
R2,62,0.13
Ras,28,0.06
ste~,58,0.12
fEt,117,0.24
v@,2,0.0
maR,6,0.01
ba,161,0.34
je,201,0.42
v9R,32,0.07
sC,169,0.35
sEj,9,0.02
tyR,132,0.28
En,29,0.06
k9R,81,0.17
tCz,5,0.01
pas,55,0.11
my,19,0.04
tHER,13,0.03
Re~,87,0.18
pRi,178,0.37
sjC,292,0.61
vil,71,0.15
lEj,90,0.19
kREt,10,0.02
mOR,166,0.35
plas,17,0.04
kjE,12,0.03
fam,110,0.23
Rfe~,39,0.08
blE,32,0.07
mAt,63,0.13
nHit,26,0.05
vA,359,0.75
ti,91,0.19
lsEn,4,0.01
pl9R,65,0.14
du,53,0.11
zj2z,28,0.06
tu,80,0.17
Soz,86,0.18
@,12,0.03
se,414,0.87
Rut,33,0.07
ni,259,0.54
sA,351,0.73
swaR,107,0.22
pa,347,0.73
le,271,0.57
Rtyz,2,0.0
zjC,72,0.15
tRaj,12,0.03
lA,73,0.15
Rse,30,0.06
m2,16,0.03
kut,18,0.04
fl9v,20,0.04
mAs,99,0.21
pli,71,0.15
sjAs,19,0.04
f2,67,0.14
Ri,165,0.34
Rlob,1,0.0
vwan,2,0.0
nE,105,0.22
mHE,21,0.04
vER,278,0.58
lyn,17,0.04
mE,149,0.31
dmiR,8,0.02
bwa,129,0.27
bRij,23,0.05
dit,43,0.09
gliz,13,0.03
ze~,25,0.05
dtEv,4,0.01
lo,56,0.12
tam,11,0.02
dj2,300,0.63
lam,52,0.11
vi,215,0.45
p2,86,0.18
tEl,53,0.11
plyz,22,0.05
tER,248,0.52
REv,68,0.14
d9j,33,0.07
Riv,26,0.05
bCz,4,0.01
SA,148,0.31
pe,117,0.24
ZEt,21,0.04
ze,131,0.27
Rdy,62,0.13
by,18,0.04
blEs,6,0.01
Rn@,1,0.0
m2t,8,0.02
