Syllabe,Occurrences,Pourcentage
sCZ,10,0.03
gaR,108,0.37
tRE,24,0.08
vi,261,0.9
mEj,31,0.11
dOn,14,0.05
gRE,10,0.03
te,591,2.04
pwe~,12,0.04
vaZ,61,0.21
bwa,55,0.19
lwa,43,0.15
lAs,91,0.31
Rni,13,0.04
zyR,68,0.24
lje,25,0.09
fHi,35,0.12
ne,217,0.75
jA,48,0.17
zER,119,0.41
vER,148,0.51
Rmi,33,0.11
vwal,38,0.13
A,43,0.15
te~,112,0.39
ku,48,0.17
RE,96,0.33
RA,148,0.51
Rty,38,0.13
muR,168,0.58
Rvu,9,0.03
mA,390,1.35
piR,79,0.27
REj,40,0.14
pl9R,63,0.22
tOn,29,0.1
le,231,0.8
pA,17,0.06
vRe,18,0.06
twa,146,0.5
pa,307,1.06
kOR,149,0.52
si,116,0.4
RtEl,88,0.3
pyR,59,0.2
spas,31,0.11
stA,29,0.1
pE,56,0.19
tRam,21,0.07
fe~,72,0.25
@,7,0.02
k9j,14,0.05
lOm,39,0.13
vEl,20,0.07
tER,223,0.77
ba,92,0.32
kRE,23,0.08
Re,203,0.7
RdyR,20,0.07
RC,29,0.1
kuR,41,0.14
zj2,148,0.51
sC,55,0.19
me,166,0.57
ply,100,0.35
ni,180,0.62
RiR,99,0.34
mo,70,0.24
jaZ,20,0.07
lC,46,0.16
paR,51,0.18
zEl,23,0.08
pCd,3,0.01
mwe~,32,0.11
kA,10,0.03
lda,5,0.02
mOR,143,0.49
f2,67,0.23
fER,35,0.12
mid,9,0.03
RSyt,2,0.01
d9j,17,0.06
Re~,29,0.1
Rval,10,0.03
gRez,4,0.01
vA,159,0.55
tA,236,0.82
se,446,1.54
lme,1,0.0
lHi,148,0.51
gRe,34,0.12
nHit,19,0.07
Rme~,9,0.03
Rul,14,0.05
sA,249,0.86
li,94,0.32
mE,118,0.41
fyt,3,0.01
maZ,66,0.23
vAs,13,0.04
Se,195,0.67
mit,7,0.02
Rpe,6,0.02
blAt,6,0.02
sjAs,9,0.03
vid,49,0.17
fil,40,0.14
kRi,51,0.18
zC,144,0.5
dis,8,0.03
tas,10,0.03
liR,61,0.21
ky,19,0.07
Z9R,13,0.04
Rtu,23,0.08
sAt,31,0.11
dy,123,0.43
lEn,24,0.08
kRe,36,0.12
sin,19,0.07
dRa,9,0.03
RAt,44,0.15
mjER,79,0.27
zo,77,0.27
R2,33,0.11
ROl,27,0.09
mAt,40,0.14
nwi,19,0.07
lCZ,2,0.01
gje,4,0.01
pis,19,0.07
tAz,22,0.08
lEt,10,0.03
pid,38,0.13
lEl,3,0.01
mEm,140,0.48
tRas,36,0.12
swaR,90,0.31
RsER,1,0.0
Ri,77,0.27
blE,10,0.03
mi,106,0.37
pol,7,0.02
kt9R,7,0.02
plas,31,0.11
me~,309,1.07
Rpa,7,0.02
ziR,44,0.15
du,33,0.11
tuR,96,0.33
lj2,71,0.25
tiR,40,0.14
naZ,10,0.03
go,7,0.02
nEf,1,0.0
ROR,78,0.27
pje,80,0.28
nHi,146,0.5
biz,5,0.02
ve,103,0.36
ksA,22,0.08
lEj,91,0.31
vu,46,0.16
ZuR,356,1.23
sjC,132,0.46
Rk@,1,0.0
ktim,14,0.05
fA,89,0.31
RtEt,4,0.01
Rse,36,0.12
zi,25,0.09
lwe~,79,0.27
nad,3,0.01
fwa,117,0.4
ny,91,0.31
a,4,0.01
Rnu,29,0.1
RlOR,1,0.0
jC,117,0.4
s9l,78,0.27
mC,29,0.1
flA,19,0.07
mwa,214,0.74
bim,53,0.18
vwa,167,0.58
nit,13,0.04
sOl,26,0.09
lak,21,0.07
njER,18,0.06
blOk,2,0.01
dom,7,0.02
Ziv,1,0.0
RniS,1,0.0
be,35,0.12
bOR,64,0.22
sEl,29,0.1
klOR,30,0.1
lam,40,0.14
jje,3,0.01
RjER,33,0.11
blA,42,0.15
n9R,80,0.28
tyd,56,0.19
ve~t,1,0.0
fREz,2,0.01
gRap,3,0.01
mjEl,12,0.04
kup,11,0.04
sjEl,192,0.66
Rsi,31,0.11
pjER,62,0.21
Riv,24,0.08
zaZ,27,0.09
tRaZ,5,0.02
nam,7,0.02
dj2,314,1.09
pli,48,0.17
di,81,0.28
Rje~,44,0.15
plyz,16,0.06
ZE,13,0.04
je,133,0.46
lAZ,13,0.04
vje~,16,0.06
spEt,3,0.01
ki,6,0.02
RAs,75,0.26
glas,12,0.04
jaR,17,0.06
ROk,13,0.04
ROS,10,0.03
spiR,43,0.15
tRC,10,0.03
mEs,4,0.01
zOR,12,0.04
flo,55,0.19
ve~,105,0.36
sEn,4,0.01
nHaZ,53,0.18
siz,14,0.05
nEZ,20,0.07
pte,18,0.06
dOR,65,0.22
paz,51,0.18
plEn,35,0.12
d2z,1,0.0
RdOn,9,0.03
tniR,1,0.0
bRa,41,0.14
REl,24,0.08
stER,52,0.18
bje~,25,0.09
kle,5,0.02
njaR,7,0.02
gyR,17,0.06
do,10,0.03
spE,17,0.06
ROn,13,0.04
Riz,5,0.02
de,53,0.18
vag,21,0.07
niR,127,0.44
fRC,71,0.25
ful,20,0.07
s2,4,0.01
tEl,63,0.22
mER,141,0.49
pER,49,0.17
swe~,11,0.04
tje~,36,0.12
gROt,10,0.03
vy,22,0.08
Sez,8,0.03
pRiz,6,0.02
jz,6,0.02
pEt,34,0.12
s2R,32,0.11
mje~,31,0.11
pe,88,0.3
zA,55,0.19
Rwa,110,0.38
Rve,5,0.02
Ro,28,0.1
ji,22,0.08
bl2,12,0.04
tEt,48,0.17
fAt,10,0.03
to,41,0.14
Rti,16,0.06
nOR,28,0.1
sAz,16,0.06
Raj,9,0.03
mjez,1,0.0
gA,9,0.03
pwa,24,0.08
vo,41,0.14
m9R,57,0.2
las,35,0.12
nje,32,0.11
Sje~,10,0.03
Rzam,1,0.0
tRin,15,0.05
lOR,36,0.12
vRaZ,20,0.07
gut,18,0.06
dRi,12,0.04
Rde,22,0.08
mje,17,0.06
dEl,20,0.07
sOR,54,0.19
fy,15,0.05
vaj,8,0.03
se~,94,0.32
nj,75,0.26
bRit,1,0.0
po,39,0.13
swa,33,0.11
ste~,43,0.15
Om,16,0.06
tam,4,0.01
myR,32,0.11
bo,113,0.39
ZER,15,0.05
t2z,2,0.01
so,20,0.07
Rme~z,1,0.0
k2,6,0.02
Rd9R,3,0.01
b2f,4,0.01
SaR,15,0.05
S9R,21,0.07
vwaR,84,0.29
dwa,31,0.11
RmER,5,0.02
ZwA,1,0.0
sjER,46,0.16
Rwat,9,0.03
tRo,13,0.04
sOk,3,0.01
RSA,7,0.02
kym,18,0.06
bi,12,0.04
fAz,9,0.03
me~z,10,0.03
RnEl,74,0.26
zCd,12,0.04
klu,3,0.01
mAs,34,0.12
sj2,123,0.43
Rbit,1,0.0
Rte,94,0.32
lCd,27,0.09
klin,14,0.05
t9R,56,0.19
i,23,0.08
lis,36,0.12
Rk9j,20,0.07
ti,37,0.13
nC,95,0.33
vaz,5,0.02
ZjC,4,0.01
RSom,1,0.0
zit,5,0.02
sHiv,4,0.01
Ram,8,0.03
vRam,2,0.01
la,40,0.14
REs,17,0.06
o,67,0.23
RsEl,11,0.04
RkuR,4,0.01
syR,13,0.04
j9R,12,0.04
sAs,59,0.2
lo,24,0.08
RwaR,22,0.08
vit,16,0.06
gRas,16,0.06
tik,20,0.07
ko,31,0.11
pi,32,0.11
pRi,79,0.27
tyR,112,0.39
stis,18,0.06
sez,4,0.01
vAt,22,0.08
ZA,15,0.05
lAt,14,0.05
pOR,27,0.09
sH9R,8,0.03
taR,12,0.04
l9R,110,0.38
twal,31,0.11
saZ,17,0.06
gRe~,6,0.02
tCd,1,0.0
ty,56,0.19
vwaz,12,0.04
lER,45,0.16
d9R,50,0.17
lH9R,22,0.08
jE,23,0.08
gid,9,0.03
dut,23,0.08
fl9R,57,0.2
le~,10,0.03
RmiR,12,0.04
glis,4,0.01
RvEj,10,0.03
pC,14,0.05
viR,9,0.03
flAz,2,0.01
lA,77,0.27
mik,1,0.0
dyz,5,0.02
tRe,30,0.1
RHi,29,0.1
vAz,10,0.03
sjal,2,0.01
sfE,5,0.02
tREz,3,0.01
gER,6,0.02
tif,24,0.08
nj2,7,0.02
t@,1,0.0
mwaR,37,0.13
SA,60,0.21
tje,94,0.32
Rme,50,0.17
dj2z,4,0.01
mez,5,0.02
RaR,2,0.01
Som,6,0.02
blo,6,0.02
ple~,14,0.05
pRE,21,0.07
ze,136,0.47
RHin,20,0.07
tAt,30,0.1
9R,19,0.07
dA,41,0.14
lez,3,0.01
tjEn,14,0.05
Rne,25,0.09
sjCz,7,0.02
flam,57,0.2
gCd,1,0.0
mni,3,0.01
sEd,4,0.01
nj9R,82,0.28
Rli,3,0.01
Rle,21,0.07
lu,18,0.06
pAs,9,0.03
stAs,42,0.15
sHi,27,0.09
dE,19,0.07
dat,3,0.01
mEn,38,0.13
v9R,13,0.04
fAZ,5,0.02
dtOR,32,0.11
Rtym,7,0.02
El,30,0.1
v2,31,0.11
Es,2,0.01
tna,1,0.0
zin,2,0.01
fOR,37,0.13
sym,6,0.02
nuz,10,0.03
nHiz,10,0.03
nEl,11,0.04
mCd,98,0.34
ly,22,0.08
bRi,40,0.14
sEs,11,0.04
paZ,11,0.04
Zil,9,0.03
Rfe~,15,0.05
am,99,0.34
gal,13,0.04
Ra,50,0.17
tjER,26,0.09
Za,22,0.08
by,6,0.02
stAz,2,0.01
tiv,26,0.09
RmyR,26,0.09
ble,18,0.06
pit,4,0.01
pse,5,0.02
RSe,26,0.09
mij,11,0.04
Rdus,1,0.0
jEs,5,0.02
nu,86,0.3
tEs,2,0.01
sy,29,0.1
Rtyn,9,0.03
Rso,29,0.1
djER,4,0.01
laZ,16,0.06
fC,36,0.12
je~,4,0.01
Et,12,0.04
tCb,42,0.15
tRi,43,0.15
twaR,20,0.07
lgER,4,0.01
bli,38,0.13
pREz,7,0.02
zAs,15,0.05
pe~,28,0.1
zj2z,21,0.07
SER,23,0.08
vOR,14,0.05
lAz,5,0.02
g9R,13,0.04
st9R,14,0.05
plCZ,6,0.02
fCd,30,0.1
plEt,6,0.02
SEn,24,0.08
de~,30,0.1
Zwa,35,0.12
fij,11,0.04
tRA,9,0.03
jAt,14,0.05
lCz,2,0.01
pAt,17,0.06
e,16,0.06
kil,5,0.02
spOR,11,0.04
il,1,0.0
dHi,25,0.09
lin,45,0.16
fas,21,0.07
nA,38,0.13
sE,46,0.16
plaZ,17,0.06
lAp,5,0.02
jER,27,0.09
tEm,5,0.02
tiZ,4,0.01
f2j,1,0.0
REn,5,0.02
lyn,5,0.02
zEn,1,0.0
lyt,5,0.02
mus,11,0.04
fiR,17,0.06
dEn,3,0.01
e~,4,0.01
bCd,6,0.02
l2j,23,0.08
dAt,14,0.05
vE,42,0.15
So,12,0.04
sbos,1,0.0
nys,5,0.02
kRim,19,0.07
fEt,23,0.08
dji,19,0.07
Ru,16,0.06
Ze,88,0.3
fis,36,0.12
glo,17,0.06
skE,2,0.01
Rsy,3,0.01
kRiR,3,0.01
sa,10,0.03
fne,1,0.0
ton,1,0.0
gon,1,0.0
siv,2,0.01
Z2,15,0.05
lid,2,0.01
ksE,4,0.01
fjER,2,0.01
kte,9,0.03
stAt,3,0.01
RmEs,1,0.0
zaR,42,0.15
nEs,13,0.04
s9R,15,0.05
gREs,3,0.01
dREs,14,0.05
mwe~z,6,0.02
Rj2,26,0.09
m2z,3,0.01
fRAd,3,0.01
mj2,8,0.03
k9R,47,0.16
jAz,2,0.01
lwaR,45,0.16
Rg2j,15,0.05
s9j,18,0.06
puz,1,0.0
RfA,1,0.0
Ril,11,0.04
blEs,8,0.03
ge,9,0.03
lon,2,0.01
pEn,23,0.08
Ct,7,0.02
Rvi,12,0.04
RmA,23,0.08
pREm,41,0.14
ple,12,0.04
plis,19,0.07
fHit,5,0.02
REt,23,0.08
pEl,28,0.1
tEn,7,0.02
mHE,11,0.04
fAs,23,0.08
blim,26,0.09
nim,15,0.05
RtA,27,0.09
REv,23,0.08
ljER,8,0.03
pwaR,34,0.12
bRCz,2,0.01
dmiR,6,0.02
RpyR,5,0.02
kul,7,0.02
SE,11,0.04
ZwE,3,0.01
vOl,19,0.07
Rid,19,0.07
RtEn,8,0.03
tREn,8,0.03
Zu,31,0.11
flOt,7,0.02
Su,1,0.0
RnaZ,5,0.02
gRA,11,0.04
mEl,15,0.05
bHe~,5,0.02
ke,6,0.02
RtiR,27,0.09
lmEm,4,0.01
ttEm,14,0.05
gREt,3,0.01
ste~t,1,0.0
pas,15,0.05
m2,5,0.02
mHEt,10,0.03
suR,3,0.01
kRit,5,0.02
ktER,7,0.02
nCs,7,0.02
kjEt,3,0.01
lte,7,0.02
klER,23,0.08
RaZ,37,0.13
mfis,1,0.0
kCd,19,0.07
tys,4,0.01
R9R,42,0.15
SiR,23,0.08
lEv,30,0.1
doz,2,0.01
dEm,3,0.01
njA,8,0.03
lE,56,0.19
RsiR,2,0.01
stEs,15,0.05
vREs,8,0.03
bu,18,0.06
tE,39,0.13
sje,25,0.09
lbCt,1,0.0
En,6,0.02
Rte~,12,0.04
gRCd,12,0.04
das,6,0.02
RlCd,9,0.03
nE,21,0.07
Rde~,9,0.03
sEt,6,0.02
Rdy,32,0.11
tu,13,0.04
RtE,7,0.02
RfE,12,0.04
aZ,23,0.08
sij,3,0.01
kHis,1,0.0
pt2R,1,0.0
RuS,3,0.01
buS,23,0.08
skyR,48,0.17
vRA,9,0.03
Si,28,0.1
RjA,5,0.02
nOm,15,0.05
lEm,17,0.06
k2z,2,0.01
pRu,2,0.01
ma,23,0.08
lOt,3,0.01
knu,3,0.01
dit,12,0.04
tus,11,0.04
fRaZ,4,0.01
vut,19,0.07
taZ,31,0.11
kla,11,0.04
As,1,0.0
RSC,4,0.01
sim,21,0.07
stal,12,0.04
pRez,1,0.0
bRaZ,19,0.07
Rse~,4,0.01
vin,34,0.12
miR,17,0.06
nwe,5,0.02
2j,16,0.06
f2z,4,0.01
dREt,1,0.0
Roz,23,0.08
lpyR,2,0.01
kloz,4,0.01
poz,17,0.06
sfER,9,0.03
Soz,13,0.04
mjEn,9,0.03
vEj,42,0.15
tREt,7,0.02
jiR,16,0.06
sOn,9,0.03
te~t,9,0.03
ple~t,2,0.01
ptez,1,0.0
skif,8,0.03
Rbe,5,0.02
til,33,0.11
pCt,4,0.01
plOR,8,0.03
RZuR,4,0.01
glA,13,0.04
Swe,1,0.0
RtC,1,0.0
nti,2,0.01
RZil,9,0.03
fwaz,10,0.03
lym,7,0.02
lj2z,4,0.01
Z2z,2,0.01
Rut,20,0.07
RbOR,3,0.01
bEs,6,0.02
RmEm,7,0.02
lyR,1,0.0
mEz,12,0.04
jOn,8,0.03
tHER,10,0.03
kaZ,3,0.01
ze~,3,0.01
fRap,3,0.01
tREv,2,0.01
at,2,0.01
va,16,0.06
RmEj,10,0.03
Cd,9,0.03
RvER,2,0.01
R2z,6,0.02
ZEs,14,0.05
RZe,19,0.07
vje,2,0.01
tC,26,0.09
stC,2,0.01
bEn,1,0.0
Rj9R,8,0.03
sER,17,0.06
lAg,6,0.02
tH2,3,0.01
maz,3,0.01
Rsim,2,0.01
njOR,9,0.03
Rdo,9,0.03
vRiR,9,0.03
nez,4,0.01
nis,9,0.03
tis,4,0.01
bA,15,0.05
tal,34,0.12
blik,5,0.02
Rje,6,0.02
daR,2,0.01
aS,1,0.0
jAs,2,0.01
pEz,13,0.04
RsOR,1,0.0
RzCd,1,0.0
bal,3,0.01
mis,4,0.01
nAt,7,0.02
fRER,11,0.04
g2,1,0.0
