Syllabe,Occurrences,Pourcentage
bal,9,0.07
vu,40,0.31
SC,2,0.02
du,20,0.16
me,97,0.75
RE,46,0.36
v@,1,0.01
mA,180,1.4
dA,42,0.33
bwaR,4,0.03
kla,5,0.04
ZyR,5,0.04
stAz,3,0.02
pid,12,0.09
fER,56,0.43
te,325,2.52
loz,2,0.02
stik,3,0.02
fC,22,0.17
nje,30,0.23
nu,34,0.26
tC,21,0.16
jC,16,0.12
Rne,12,0.09
twa,47,0.36
Rmi,21,0.16
pa,141,1.09
Ryd,3,0.02
jAt,4,0.03
Re,143,1.11
sA,67,0.52
ksAz,1,0.01
lEv,9,0.07
tER,79,0.61
A,18,0.14
zj2,51,0.4
tRe,12,0.09
bOR,13,0.1
lje,31,0.24
bu,15,0.12
fil,9,0.07
je,72,0.56
RmA,20,0.16
fo,2,0.02
l@,1,0.01
ve,55,0.43
@,3,0.02
niR,50,0.39
ste~,11,0.09
vA,52,0.4
tEj,1,0.01
vER,51,0.4
tot,5,0.04
be,16,0.12
ply,32,0.25
lA,38,0.29
Ry,15,0.12
sy,11,0.09
vil,11,0.09
Rg2j,4,0.03
se,214,1.66
Za,14,0.11
RtiR,11,0.09
sC,19,0.15
nam,2,0.02
kt9R,20,0.16
dto,3,0.02
RaZ,11,0.09
v2,30,0.23
me~,148,1.15
zyR,11,0.09
Z9R,15,0.12
blA,29,0.22
Ri,74,0.57
ble,4,0.03
tjER,19,0.15
dOR,16,0.12
ko,10,0.08
kRE,11,0.09
sjC,53,0.41
tuR,19,0.15
sOR,7,0.05
Rsi,11,0.09
pRE,14,0.11
lwe~,27,0.21
sjEl,41,0.32
bwa,13,0.1
vi,110,0.85
tRaZ,4,0.03
mEm,35,0.27
la,83,0.64
plEn,6,0.05
nj9R,9,0.07
lHi,60,0.47
Rwa,37,0.29
ssA,1,0.01
nC,34,0.26
tEt,24,0.19
fRC,23,0.18
v2z,4,0.03
fE,32,0.25
am,28,0.22
ze~,10,0.08
Rad,5,0.04
S9R,8,0.06
mCd,41,0.32
bul,1,0.01
m9R,9,0.07
se~t,10,0.08
s9l,22,0.17
ple~t,2,0.02
mAt,22,0.17
RtER,10,0.08
bje~,36,0.28
Rwez,1,0.01
RdA,14,0.11
l9R,62,0.48
RCd,1,0.01
lEz,5,0.04
sje,13,0.1
mE,36,0.28
Rse~,1,0.01
ze,92,0.71
paR,9,0.07
si,107,0.83
