ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
BAU1.lm:12	BAU	BAU_1	BAU1	poem	12	6+6	40		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU10.lm:12	BAU	BAU_1	BAU10	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU100.lm:12	BAU	BAU_1	BAU100	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU101.lm:8	BAU	BAU_1	BAU101	poem	8	8	32		0.1	mètre simple		2022-06-05	
BAU102.lm:12	BAU	BAU_1	BAU102	poem	12	6+6	38		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU103.lm:12	BAU	BAU_1	BAU103	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU104.lm:12	BAU	BAU_1	BAU104	poem	12	6−6	60		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-05	
BAU105.lm:12	BAU	BAU_1	BAU105	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU106.lm:12	BAU	BAU_1	BAU106	poem	12	6+6	10		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU107.lm:12	BAU	BAU_1	BAU107	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU108.lm:12	BAU	BAU_1	BAU108	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU109.lm:8	BAU	BAU_1	BAU109	poem	8	8	60		0.1	mètre simple		2022-06-05	
BAU11.lm:12	BAU	BAU_1	BAU11	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU110.lm:12	BAU	BAU_1	BAU110	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU111.lm:12	BAU	BAU_1	BAU111	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU112.lm:12	BAU	BAU_1	BAU112	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU113.lm:8	BAU	BAU_1	BAU113	poem	8	8	52		0.1	mètre simple		2022-06-05	
BAU114.lm:12	BAU	BAU_1	BAU114	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU115.lm:8	BAU	BAU_1	BAU115	poem	8	8	14		0.1	mètre simple		2022-06-05	
BAU116.lm:12	BAU	BAU_1	BAU116	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU117.lm:8	BAU	BAU_1	BAU117	poem	8	8	30		0.1	mètre simple		2022-06-05	
BAU117.lm:12	BAU	BAU_1	BAU117	poem	12	6+6	30		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU118.lm:12	BAU	BAU_1	BAU118	poem	12	6+6	75		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU119.lm:12	BAU	BAU_1	BAU119	poem	12	6+6	104		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU12.lm:8	BAU	BAU_1	BAU12	poem	8	8	14		0.1	mètre simple		2022-06-05	
BAU120.lm:12	BAU	BAU_1	BAU120	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU121.lm:12	BAU	BAU_1	BAU121	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU122.lm:12	BAU	BAU_1	BAU122	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU123.lm:12	BAU	BAU_1	BAU123	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU124.lm:12	BAU	BAU_1	BAU124	poem	12	6+6	30		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU125.lm:12	BAU	BAU_1	BAU125	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU126.lm:12	BAU	BAU_1	BAU126	poem	12	6−6	60		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-05	
BAU127.lm:5	BAU	BAU_1	BAU127	poem	5	5	10		0.1	mètre simple		2022-06-05	
BAU127.lm:8	BAU	BAU_1	BAU127	poem	8	8	10		0.1	mètre simple		2022-06-05	
BAU128.lm:12	BAU	BAU_1	BAU128	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU129.lm:8	BAU	BAU_1	BAU129	poem	8	8	32		0.1	mètre simple		2022-06-05	
BAU13.lm:12	BAU	BAU_1	BAU13	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU130.lm:12	BAU	BAU_1	BAU130	poem	12	6+6	51		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU131.lm:10	BAU	BAU_1	BAU131	poem	10	5+5	14		1.1.2.1.1.2	profil traditionnel		2022-06-05	
BAU132.lm:12	BAU	BAU_1	BAU132	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU133.lm:12	BAU	BAU_1	BAU133	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-05	
BAU134.lm:8	BAU	BAU_1	BAU134	poem	8	8	14		0.1	mètre simple		2022-06-05	
